Rank,Player,Team,Position Rank,Position,Fantasy Positions,ADP,Age,Notes,,,,,,,,#REF!
166,Christian Elliss,NE,LB056,LB,"DL, LB",999,27.4,,,,,,,,,
167,Teddye Buchanan,BAL,LB057,LB,LB,289,22.8,,,,,,,,,
168,Trevin Wallace,CAR,LB058,LB,LB,484.1,23.2,,,,,,,,,
169,Derrick Barnes,DET,LB059,LB,"DL, LB",999,27,,,,,,,,,
170,Dorian Williams,BUF,LB060,LB,LB,999,24.9,Make-or-Break Season,,,,,,,,
171,Pete Werner,NO,LB061,LB,LB,999,27,,,,,,,,,
172,Omar Speights,LAR,LB062,LB,LB,521.3,25.2,,,,,,,,,
173,Justin Strnad,DEN,LB063,LB,LB,999,29.7,,,,,,,,,
174,Marlon Humphrey,BAL,CB006,CB,DB,999,29.9,,,,,,,,,
175,Upton Stout,SF,CB007,CB,DB,999,24.9,CB1 Darkhouse,,,,,,,,
176,Alontae Taylor,TEN,CB008,DB,DB,468.2,27.5,,,,,,,,,
177,Marcus Jones,NE,CB009,DB,DB,999,27.6,,,,,,,,,
178,Jacob Parrish,TB,CB010,DB,DB,999,22.2,CB1 Darkhouse,,,,,,,,
179,Jalyx Hunt,PHI,ED050,DE,DL,999,25.2,,,,,,,,,
180,Boye Mafe,CIN,ED051,DL,"DL, LB",505,27.5,,,,,,,,,
181,Austin Booker,CHI,ED052,DL,DL,999,23.4,,,,,,,,,
182,Dayo Odeyingbo,CHI,ED053,DE,DL,999,,,,,,,,,,
183,Donovan Ezeiruaku,DAL,ED054,DL,DL,999,22.5,,,,,,,,,
184,DJ Wonnum,DET,ED055,DE,"DL, LB",999,28.5,,,,,,,,,
185,Nic Scourton,CAR,ED056,DL,DL,524,21.9,,,,,,,,,
186,Arden Key,IND,ED057,DE,"DL, LB",999,,,,,,,,,,
187,Keldric Faulk,TEN,ED058,DL,DL,175,20.7,,,,,,,,,
188,Kwity Paye,LV,ED059,DE,DL,999,27.5,,,,,,,,,
189,Alex Wright,CLE,ED060,DL,DL,999,25.7,,,,,,,,,
190,James Pearce,ATL,ED061,DL,DL,453.1,23.2,,,,,,,,,
191,Lathan Ransom,CAR,S037,DB,DB,999,24,,,,,,,,,
192,Malik Mustapha,SF,S038,DB,DB,999,23.9,,,,,,,,,
193,Cole Bishop,BUF,S039,DB,DB,999,23.6,,,,,,,,,
194,Dante Trader,MIA,S040,DB,DB,999,24.7,,,,,,,,,
195,Andrew Mukuba,PHI,S041,DB,DB,999,25.7,,,,,,,,,
196,Jevon Holland,NYG,S042,DB,DB,384,26.2,,,,,,,,,
197,Nick Herbig,PIT,ED062,LB,"DL, LB",423.4,24.5,,,,,,,,,
198,Akheem Mesidor,LAC,ED063,DL,"DL, LB",196.9,25.1,,,,,,,,,
199,Malachi Lawrence,DAL,ED064,DL,DL,382.3,22.8,,,,,,,,,
200,Myles Murphy,CIN,ED065,DL,DL,999,24.4,,,,,,,,,
201,Azeez Ojulari,ATL,ED066,LB,"DL, LB",999,25.9,,,,,,,,,
202,Baron Browning,ARI,ED067,LB,"DL, LB",999,27.2,,,,,,,,,
203,Devonte Wyatt,GB,DT021,DL,DL,999,28.1,,,,,,,,,
204,Jordan Davis,PHI,DT022,DL,DL,999,26.3,,,,,,,,,
205,Walter Nolen,ARI,DT023,DL,DL,999,23.5,,,,,,,,,
206,Vita Vea,TB,DT024,DT,DL,999,,,,,,,,,,
207,Bobby Wagner,FA,LB064,LB,LB,309,35.9,,,,,,,,,
208,Bobby Okereke,FA,LB065,LB,LB,235,29.8,,,,,,,,,
209,Leo Chenal,WAS,LB066,LB,LB,999,25.6,,,,,,,,,
210,Malcolm Rodriguez,DET,LB067,LB,LB,999,,,,,,,,,,
211,Denzel Perryman,LAC,LB068,LB,LB,999,,,,,,,,,,
212,Jacob Rodriguez,MIA,LB069,LB,LB,999,23.7,,,,,,,,,
213,Anthony Hill,TEN,LB070,LB,LB,161,21.3,,,,,,,,,
214,Kaleb Elarms-Orr,BUF,LB071,LB,LB,999,22.7,,,,,,,,,
215,Tatum Bethune,SF,LB072,LB,LB,999,25.2,,,,,,,,,
216,Jack Gibbens,ARI,LB073,LB,LB,999,,,,,,,,,,
217,Christian Rozeboom,TB,LB074,LB,LB,307.1,29.3,Tackles Red Flag,,,,,,,,
218,Kamari Lassiter,HOU,CB011,DB,DB,999,23.3,,,,,,,,,
219,Riley Moss,DEN,CB012,DB,DB,999,26.2,CB1 Darkhouse,,,,,,,,
220,Jourdan Lewis,JAX,CB013,CB,DB,999,30.7,,,,,,,,,
221,Mike Sainristil,WAS,CB014,DB,DB,506.9,25.6,,,,,,,,,
222,DaRon Bland,DAL,CB015,DB,DB,999,26.9,,,,,,,,,
223,Byron Murphy,MIN,CB016,CB,DB,999,28.3,,,,,,,,,
224,Malaki Starks,BAL,S043,DB,DB,400.5,24.1,,,,,,,,,
225,Javon Bullard,GB,S044,DB,DB,411.8,23.7,,,,,,,,,
226,Ji'Ayir Brown,SF,S045,DB,DB,999,26.3,,,,,,,,,
227,Craig Woodson,NE,S046,DB,DB,999,25.2,,,,,,,,,
228,Ronnie Hickman,CLE,S047,DB,DB,999,24.6,,,,,,,,,
229,Malcolm Koonce,LV,ED068,DE,DL,999,,,,,,,,,,
230,Lukas Van Ness,GB,ED069,DL,DL,999,24.9,,,,,,,,,
231,Mykel Williams,SF,ED070,DL,DL,352.2,23.2,,,,,,,,,
232,Shemar Stewart,CIN,ED071,DL,DL,999,24.1,,,,,,,,,
233,Derrick Moore,DET,ED072,DE,DL,999,23.4,,,,,,,,,
234,T'Vondre Sweat,NYJ,DT025,DL,DL,999,24.9,,,,,,,,,
235,Daron Payne,WAS,DT026,DT,DL,999,29,,,,,,,,,
236,John Franklin-Myers,TEN,DT027,DT,"DL, LB",999,29.6,,,,,,,,,
237,Gervon Dexter,CHI,DT028,DL,DL,999,24.6,,,,,,,,,
238,Moro Ojomo,PHI,DT029,DE,DL,999,,,,,,,,,,
239,Junior Colson,LAC,LB075,LB,LB,500.6,23.4,Make-or-Break Season,,,,,,,,
240,Bryce Boettcher,IND,LB076,LB,LB,999,23.9,,,,,,,,,
241,Isaiah McDuffie,GB,LB077,LB,LB,999,26.8,,,,,,,,,
242,Ivan Pace,MIN,LB078,LB,LB,302.7,25.4,,,,,,,,,
243,Justin Jefferson,CLE,LB079,LB,LB,999,23.2,,,,,,,,,
244,Oren Burks,CIN,LB080,LB,LB,999,,,,,,,,,,
245,Jack Kiser,JAX,LB081,LB,LB,999,24.3,,,,,,,,,
246,Danny Stutsman,NO,LB082,LB,LB,999,24.4,,,,,,,,,
247,Jack Sanborn,CHI,LB083,LB,LB,315,25.8,,,,,,,,,
248,Jake Golday,MIN,LB084,LB,LB,362,23,,,,,,,,,
249,Cole Holcomb,PIT,LB085,LB,LB,999,,,,,,,,,,
250,Trenton Simpson,BAL,LB086,LB,LB,999,24.9,,,,,,,,,
251,Trent McDuffie,LAR,CB017,DB,DB,999,25.7,,,,,,,,,
252,Dax Hill,CIN,CB018,DB,DB,999,25.6,,,,,,,,,
253,Taron Johnson,LV,CB019,CB,DB,461.2,29.8,,,,,,,,,
254,Dru Phillips,NYG,CB020,DB,DB,999,24.5,,,,,,,,,
255,Billy Bowman,ATL,CB021,DB,DB,999,23.3,,,,,,,,,
256,Kyler Gordon,CHI,CB022,DB,DB,999,26.4,Make-or-Break Season,,,,,,,,
257,Tyson Campbell,CLE,CB023,CB,DB,999,26.2,,,,,,,,,
258,Christian Gonzalez,NE,CB024,DB,DB,999,23.9,,,,,,,,,
259,Keisean Nixon,GB,CB025,CB,DB,999,28.9,,,,,,,,,
260,Kenny Clark,DAL,DT030,DE,DL,999,,,,,,,,,,
261,Joseph Ossai,NYJ,ED073,DE,"DL, LB",999,26.1,,,,,,,,,
262,Dani Dennis-Sutton,GB,ED074,DE,DL,999,22.4,,,,,,,,,
263,Cashius Howell,CIN,ED075,DL,DL,193,23.1,,,,,,,,,
264,JT Tuimoloau,IND,ED076,DL,DL,999,26,,,,,,,,,
265,K'Lavon Chaisson,WAS,ED077,LB,"DL, LB",999,26.8,,,,,,,,,
266,Dante Fowler,DAL,ED078,LB,"DL, LB",999,,,,,,,,,,
267,Jonah Elliss,DEN,ED079,DE,DL,999,23.1,,,,,,,,,
268,Princely Umanmielen,CAR,ED080,DL,DL,999,22.6,,,,,,,,,
269,Derick Hall,SEA,ED081,DE,DL,999,25.2,,,,,,,,,
270,Zion Young,BAL,ED082,DE,DL,999,22.2,,,,,,,,,
271,TJ Parker,BUF,ED083,DE,DL,999,21.7,,,,,,,,,
272,R Mason Thomas,KC,ED084,DL,DL,342.9,21.7,,,,,,,,,
273,Joshua Josephs,WAS,ED085,DL,DL,403.5,22.4,,,,,,,,,
274,Joey Bosa,FA,ED086,LB,"DL, LB",276,30.9,,,,,,,,,
275,Drew Sanders,DEN,LB087,LB,"DL, LB",999,,,,,,,,,,
276,SirVocea Dennis,TB,LB088,LB,LB,295.3,26.2,,,,,,,,,
277,Jeremiah Trotter,PHI,LB089,LB,LB,999,23.4,,,,,,,,,
278,Kyle Louis,MIA,LB090,LB,LB,999,22.2,,,,,,,,,
279,Isaiah Simmons,CAR,LB091,DB,"DB, LB",999,,,,,,,,,,
280,Shemar James,DAL,LB092,LB,LB,999,21.9,,,,,,,,,
281,Tommy Eichenberg,LV,LB093,LB,LB,999,25.3,,,,,,,,,
282,Micah McFadden,NYG,LB094,LB,LB,467.4,26.4,,,,,,,,,
283,Antonio Johnson,JAX,S048,DB,DB,999,,,,,,,,,,
284,Kamren Kinchens,LAR,S049,DB,DB,999,23.6,,,,,,,,,
285,Jalen Ramsey,PIT,S050,CB,DB,999,31.6,,,,,,,,,
286,Kerby Joseph,DET,S051,DB,DB,388,25.5,,,,,,,,,
287,Bryan Cook,CIN,S052,DB,DB,999,26.7,,,,,,,,,
288,Geno Stone,BUF,S053,DB,DB,999,27.1,,,,,,,,,
289,Cam Bynum,IND,S054,DB,DB,469.2,27.8,,,,,,,,,
290,Justin Reid,NO,S055,DB,DB,462.9,29.3,,,,,,,,,
291,Amani Hooker,TEN,S056,DB,DB,522.2,27.9,,,,,,,,,
292,Coby Bryant,CHI,S057,DB,DB,999,27.1,,,,,,,,,
293,Max Melton,ARI,CB026,DB,DB,999,,,,,,,,,,
294,Cam Taylor-Britt,IND,CB027,DB,DB,999,26.6,,,,,,,,,
295,Joey Porter,PIT,CB028,DB,DB,999,25.8,,,,,,,,,
296,Greg Newsome,NYG,CB029,CB,DB,999,,,,,,,,,,
297,Christian Benford,BUF,CB030,DB,DB,999,25.7,,,,,,,,,
298,Christian Izien,DET,CB031,DB,DB,999,25.9,,,,,,,,,
299,Calen Bullock,HOU,S058,DB,DB,999,23,,,,,,,,,
300,Alohi Gilman,KC,S059,DB,DB,999,28.7,,,,,,,,,
