ID,Player,Team,Opp,Pos,Salary,Own %
30169810,Atlanta Falcons,ATL,WAS,D,"$3,600",2.80%
30169260,Rashid Shaheed,NO,HOU,WR,"$3,700",2.80%
30168861,Bryce Young,CAR,MIA,QB,"$5,100",2.80%
30169204,Amari Cooper,CLE,SF,WR,"$5,800",2.70%
30169244,DJ Chark Jr.,CAR,MIA,WR,"$4,000",2.60%
30169174,Amon-Ra St. Brown,DET,TB,WR,"$7,700",2.60%
30169232,Josh Reynolds,DET,TB,WR,"$4,500",2.60%
30168863,Mac Jones,NE,LV,QB,"$5,000",2.50%
30169274,Rondale Moore,ARI,LAR,WR,"$3,500",2.50%
30169586,Hunter Henry,NE,LV,TE,"$4,400",2.50%
30169588,Tyler Higbee,LAR,ARI,TE,"$4,000",2.50%
30169182,Chris Godwin,TB,DET,WR,"$6,900",2.40%
30169236,Elijah Moore,CLE,SF,WR,"$4,300",2.40%
30169254,Darnell Mooney,CHI,MIN,WR,"$3,700",2.40%
30169817,Seattle Seahawks,SEA,CIN,D,"$3,000",2.30%
30169270,Jaxon Smith-Njigba,SEA,CIN,WR,"$3,600",2.30%
30168859,Derek Carr,NO,HOU,QB,"$5,300",2.30%
30169812,Jacksonville Jaguars,JAC,IND,D,"$3,400",2.20%
30169604,Tyler Conklin,NYJ,PHI,TE,"$3,300",2.20%
30169606,Cade Otton,TB,DET,TE,"$3,200",2.20%
30169614,Irv Smith Jr.,CIN,SEA,TE,"$3,000",2.20%
30168855,Brock Purdy,SF,CLE,QB,"$5,600",2.20%
30169616,Kylen Granson,IND,JAC,TE,"$2,900",2.00%
30169250,Kalif Raymond,DET,TB,WR,"$3,800",2.00%
30169264,Jameson Williams,DET,TB,WR,"$3,600",2.00%
30168986,Salvon Ahmed,MIA,CAR,RB,"$4,500",1.80%
30169592,David Njoku,CLE,SF,TE,"$3,700",1.80%
30169608,Hayden Hurst,CAR,MIA,TE,"$3,100",1.80%
30169612,Noah Fant,SEA,CIN,TE,"$3,000",1.80%
30169418,Jamal Agnew,JAC,IND,WR,"$3,000",1.60%
30169622,Foster Moreau,NO,HOU,TE,"$2,700",1.60%
30169626,Drew Ogletree,IND,JAC,TE,"$2,600",1.60%
30169624,Mike Gesicki,NE,LV,TE,"$2,600",1.60%
30169778,Robert Tonyan,CHI,MIN,TE,"$2,500",1.60%
30169646,Trey McBride,ARI,LAR,TE,"$2,500",1.60%
30169668,Michael Mayer,LV,NE,TE,"$2,500",1.60%
30168964,Emari Demercado,ARI,LAR,RB,"$4,900",1.50%
30168970,Ezekiel Elliott,NE,LV,RB,"$4,700",1.50%
30168990,Antonio Gibson,WAS,ATL,RB,"$4,500",1.50%
30169590,Taysom Hill,NO,HOU,TE,"$3,800",1.40%
30169820,New York Jets,NYJ,PHI,D,"$2,800",1.40%
30169246,Trey Palmer,TB,DET,WR,"$3,900",1.40%
30169770,Josh Oliver,MIN,CHI,TE,"$2,500",1.30%
30169670,Austin Hooper,LV,NE,TE,"$2,500",1.30%
30168966,Cam Akers,MIN,CHI,RB,"$4,800",1.30%
30169288,Alec Pierce,IND,JAC,WR,"$3,300",1.20%
30169454,Noah Brown,HOU,NO,WR,"$3,000",1.20%
30169824,Arizona Cardinals,ARI,LAR,D,"$2,400",1.20%
30169813,New Orleans Saints,NO,HOU,D,"$3,300",1.20%
30169815,Washington Commanders,WAS,ATL,D,"$3,100",1.20%
30168982,Keaontay Ingram,ARI,LAR,RB,"$4,500",1.10%
