PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Bryce Ford-Wheaton,WR,NYG,NYJ,130,35.50,3.00,16.25,3000,0.00,0.0,0
De'Von Achane,RB,MIA,NE,-455,47.00,-9.50,28.25,4000,0.00,0.0,0
Pat Freiermuth,TE,PIT,JAX,111,41.00,2.50,19.25,2500,0.00,0.0,0
Luke Farrell,TE,JAX,PIT,-133,41.00,-2.50,21.75,2500,0.00,0.0,0
Parker Washington,WR,JAX,PIT,-133,41.00,-2.50,21.75,3000,0.00,0.0,0
Leonard Taylor,TE,JAX,PIT,-133,41.00,-2.50,21.75,2500,0.00,0.0,0
C.J. Beathard,QB,JAX,PIT,-133,41.00,-2.50,21.75,4700,0.00,0.0,0
Elijah Cooks,WR,JAX,PIT,-133,41.00,-2.50,21.75,3000,0.00,0.0,0
Zay Jones,WR,JAX,PIT,-133,41.00,-2.50,21.75,4000,0.00,0.0,0
Mitch Trubisky,QB,PIT,JAX,111,41.00,2.50,19.25,4600,0.00,0.0,0
Mason Rudolph,QB,PIT,JAX,111,41.00,2.50,19.25,4000,0.00,0.0,0
Godwin Igwebuike,RB,PIT,JAX,111,41.00,2.50,19.25,4000,0.12,0.0,0.00
Anthony McFarland,RB,PIT,JAX,111,41.00,2.50,19.25,4000,0.00,0.0,0
Israel Abanikanda,RB,NYJ,NYG,-156,35.50,-3.00,19.25,4000,0.15,0.0,0.00
Eric Gray,RB,NYG,NYJ,130,35.50,3.00,16.25,4000,0.00,0.0,0
Irvin Charles,WR,NYJ,NYG,-156,35.50,-3.00,19.25,3000,0.00,0.0,0
Kenny Yeboah,TE,NYJ,NYG,-156,35.50,-3.00,19.25,2500,0.00,0.0,0
Tim Boyle,QB,NYJ,NYG,-156,35.50,-3.00,19.25,4000,0.00,0.0,0
Nick Bawden,RB,NYJ,NYG,-156,35.50,-3.00,19.25,4000,0.00,0.0,0
Rodney Williams,TE,PIT,JAX,111,41.00,2.50,19.25,2500,0.00,0.0,0
Alfonzo Graham,RB,PIT,JAX,111,41.00,2.50,19.25,4000,0.00,0.0,0
Aaron Rodgers,QB,NYJ,NYG,-156,35.50,-3.00,19.25,4000,0.00,0.0,0
Keith Smith,RB,ATL,TEN,-142,35.50,-2.50,19.00,4000,0.00,0.0,0
Taylor Heinicke,QB,ATL,TEN,-142,35.50,-2.50,19.00,4500,0.00,0.0,0
MyCole Pruitt,TE,ATL,TEN,-142,35.50,-2.50,19.00,2500,0.00,0.0,0
Chris Brooks,RB,MIA,NE,-455,47.00,-9.50,28.25,4000,0.00,0.0,0
Skylar Thompson,QB,MIA,NE,-455,47.00,-9.50,28.25,4000,0.00,0.0,0
Kyler Murray,QB,ARI,BAL,360,44.50,9.50,17.50,5800,0.00,0.0,0
Dee Eskridge,WR,SEA,CLE,-187,37.50,-3.50,20.50,3000,0.00,0.0,0
Michael Woods,WR,CLE,SEA,156,37.50,3.50,17.00,3000,0.00,0.0,0
Anthony Richardson,QB,IND,NO,100,43.50,1.00,21.25,4000,0.00,0.0,0
Dorian Thompson-Robinson,QB,CLE,SEA,156,37.50,3.50,17.00,4600,0.00,0.0,0
Jelani Woods,TE,IND,NO,100,43.50,1.00,21.25,2500,0.00,0.0,0
Trey Sermon,RB,IND,NO,100,43.50,1.00,21.25,4000,0.00,0.0,0
Sam Ehlinger,QB,IND,NO,100,43.50,1.00,21.25,4500,0.00,0.0,0
Kylen Granson,TE,IND,NO,100,43.50,1.00,21.25,3000,0.00,0.0,0
Ashton Dulin,WR,IND,NO,100,43.50,1.00,21.25,3000,0.00,0.0,0
Cody Thompson,WR,SEA,CLE,-187,37.50,-3.50,20.50,3000,0.00,0.0,0
Drew Lock,QB,SEA,CLE,-187,37.50,-3.50,20.50,4600,0.00,0.0,0
Malik Knowles,WR,MIN,GB,-126,42.00,-1.50,21.75,3000,0.00,0.0,0
Jameis Winston,QB,NO,IND,-115,43.50,-1.00,22.25,4700,0.00,0.0,0
Dareke Young,WR,SEA,CLE,-187,37.50,-3.50,20.50,3000,0.00,0.0,0
Jaren Hall,QB,MIN,GB,-126,42.00,-1.50,21.75,4600,0.00,0.0,0
Nick Muse,TE,MIN,GB,-126,42.00,-1.50,21.75,2500,0.00,0.0,0
Kenny McIntosh,RB,SEA,CLE,-187,37.50,-3.50,20.50,4000,0.00,0.0,0
Brady Russell,TE,SEA,CLE,-187,37.50,-3.50,20.50,2500,0.00,0.0,0
Jalen Nailor,WR,MIN,GB,-126,42.00,-1.50,21.75,3000,0.00,0.0,0
Zach Ertz,TE,ARI,BAL,360,44.50,9.50,17.50,3100,0.00,0.0,0
Geoff Swaim,TE,ARI,BAL,360,44.50,9.50,17.50,2500,0.00,0.0,0
James Conner,RB,ARI,BAL,360,44.50,9.50,17.50,4000,0.00,0.0,0
Marlon Mack,RB,ARI,BAL,360,44.50,9.50,17.50,4000,0.00,0.0,0
Evan Hull,RB,IND,NO,100,43.50,1.00,21.25,4000,0.00,0.0,0
Nick Chubb,RB,CLE,SEA,156,37.50,3.50,17.00,4000,0.00,0.0,0
Quez Watkins,WR,PHI,WAS,-327,43.50,-7.00,25.25,3000,0.00,0.0,0
Dax Milne,WR,WAS,PHI,255,43.50,7.00,18.25,3000,0.00,0.0,0
Erik Ezukanma,WR,MIA,NE,-455,47.00,-9.50,28.25,3000,0.00,0.0,0
Grant Calcaterra,TE,PHI,WAS,-327,43.50,-7.00,25.25,2500,0.00,0.0,0
Britain Covey,WR,PHI,WAS,-327,43.50,-7.00,25.25,3000,0.00,0.0,0
Tanner McKee,QB,PHI,WAS,-327,43.50,-7.00,25.25,4000,0.00,0.0,0
Alec Ingold,RB,MIA,NE,-455,47.00,-9.50,28.25,4000,0.00,0.0,0
Jamison Crowder,WR,WAS,PHI,255,43.50,7.00,18.25,3000,0.00,0.0,0
Jacoby Brissett,QB,WAS,PHI,255,43.50,7.00,18.25,4500,0.00,0.0,0
Mike White,QB,MIA,NE,-455,47.00,-9.50,28.25,4700,0.00,0.0,0
River Cracraft,WR,MIA,NE,-455,47.00,-9.50,28.25,3000,0.00,0.0,0
Brandon Dillon,TE,WAS,PHI,255,43.50,7.00,18.25,2500,0.00,0.0,0
Jake Haener,QB,NO,IND,-115,43.50,-1.00,22.25,4000,0.00,0.0,0
Zach Wood,TE,NO,IND,-115,43.50,-1.00,22.25,2500,0.00,0.0,0
Curtis Hodges,TE,WAS,PHI,255,43.50,7.00,18.25,2500,0.00,0.0,0
Armani Rogers,TE,WAS,PHI,255,43.50,7.00,18.25,2500,0.00,0.0,0
Mitchell Tinsley,WR,WAS,PHI,255,43.50,7.00,18.25,3000,0.00,0.0,0
A.T. Perry,WR,NO,IND,-115,43.50,-1.00,22.25,3000,0.00,0.0,0
Adam Prentice,RB,NO,IND,-115,43.50,-1.00,22.25,4000,0.00,0.0,0
Lynn Bowden,WR,NO,IND,-115,43.50,-1.00,22.25,3000,0.00,0.0,0
Jakeem Grant,WR,CLE,SEA,156,37.50,3.50,17.00,3000,0.00,0.0,0
Deshaun Watson,QB,CLE,SEA,156,37.50,3.50,17.00,5500,0.00,0.0,0
Eno Benjamin,RB,NO,IND,-115,43.50,-1.00,22.25,4000,0.00,0.0,0
Keith Kirkwood,WR,NO,IND,-115,43.50,-1.00,22.25,3000,0.00,0.0,0
Andy Dalton,QB,CAR,HOU,150,43.50,3.50,20.00,4500,0.00,0.0,0
