Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
57,4082036488,pistolyaz (2/2),0,199.70001,DST Raiders  FLEX Ja'Marr Chase QB Aidan O'Connell RB Christian McCaffrey RB Zamir White TE Gerald Everett WR Davante Adams WR Jakobi Meyers WR Joshua Palmer,,Joe Mixon,RB,4.90%,15.1
58,4081540529,181Hollywood (1/2),0,199.59999,DST Raiders  FLEX Christian McCaffrey QB Aidan O'Connell RB D'Onta Foreman RB Chase Brown TE David Njoku WR Davante Adams WR Jakobi Meyers WR Joshua Palmer,,Hunter Renfrow,WR,4.89%,0
59,4079717077,BigDeeZee123,0,199.22002,DST Raiders  FLEX Dawson Knox QB Matthew Stafford RB Christian McCaffrey RB Jahmyr Gibbs TE Sam LaPorta WR Davante Adams WR Jayden Reed WR Quentin Johnston,,Browns ,DST,4.86%,13
60,4080904318,mtchorni,0,198.86002,DST Panthers  FLEX Kyren Williams QB Josh Allen RB Christian McCaffrey RB Ty Chandler TE Gerald Everett WR Terry McLaurin WR Joshua Palmer WR Quentin Johnston,,Gerald Everett,TE,4.79%,9.1
61,4079961392,brycamp1 (3/5),0,198.48001,DST Falcons  FLEX Kyren Williams QB Easton Stick RB Ty Chandler RB Zamir White TE Gerald Everett WR Cooper Kupp WR Davante Adams WR Jordan Addison,,Justin Jefferson,WR,4.70%,15.4
62,4081787429,stubba007 (3/3),0,198.42001,DST Raiders  FLEX Christian McCaffrey QB Russell Wilson RB Najee Harris RB Zamir White TE Sam LaPorta WR Davante Adams WR Jerry Jeudy WR Joshua Palmer,,Joe Flacco,QB,4.56%,22.86
63,4078788395,jcal10 (6/12),0,198.37999,DST Falcons  FLEX Jordan Addison QB Sam Howell RB Kyren Williams RB Ty Chandler TE David Njoku WR Deebo Samuel WR Jayden Reed WR Joshua Palmer,,Terry McLaurin,WR,4.56%,29.1
64,4081701375,winchester1989 (9/20),0,198.12001,DST Raiders  FLEX Kyren Williams QB Matthew Stafford RB Christian McCaffrey RB Zamir White TE Trey McBride WR Cooper Kupp WR Wan'Dale Robinson WR Allen Lazard,,Romeo Doubs,WR,4.51%,6
65,4080269871,garverx (2/2),0,197.84001,DST Bengals  FLEX Kyren Williams QB Justin Fields RB Christian McCaffrey RB Ty Chandler TE Gerald Everett WR Terry McLaurin WR Jaxon Smith-Njigba WR Joshua Palmer,,Josh Allen,QB,4.39%,16.16
66,4080845959,bigdant75,0,197.76001,DST Bills  FLEX Isaiah Likely QB Jake Browning RB Christian McCaffrey RB Kyren Williams TE David Njoku WR Michael Pittman Jr. WR Rashee Rice WR Alex Erickson,,Tucker Kraft,TE,4.38%,15.7
67,4081619414,mattrab (2/2),0,197.56,DST Dolphins  FLEX Jakobi Meyers QB Brock Purdy RB Ty Chandler RB Zamir White TE David Njoku WR Cooper Kupp WR Davante Adams WR Odell Beckham Jr.,,Dallas Goedert,TE,4.35%,7.1
68,4081701382,winchester1989 (16/20),0,197.02,DST Raiders  FLEX Christian McCaffrey QB Matthew Stafford RB Ezekiel Elliott RB Zamir White TE Isaiah Likely WR Cooper Kupp WR Terry McLaurin WR Wan'Dale Robinson,,Logan Thomas,FLEX,4.35%,1.7
69,4081727306,kashman100 (5/20),0,196.92,DST Bills  FLEX Kyren Williams QB Matthew Stafford RB Christian McCaffrey RB Clyde Edwards-Helaire TE Tucker Kraft WR Cooper Kupp WR Terry McLaurin WR Cedrick Wilson Jr.,,Jalen Hurts,QB,4.31%,23.92
70,4078501083,CoffeeInBed (14/20),0,196.62001,DST Dolphins  FLEX Kyren Williams QB Matthew Stafford RB Christian McCaffrey RB Zack Moss TE Chig Okonkwo WR Terry McLaurin WR Jayden Reed WR Demarcus Robinson,,Jake Browning,QB,4.27%,22.96
71,4080346294,NorthernKnucklehead (3/4),0,196.52,DST Chiefs  FLEX CeeDee Lamb QB Aidan O'Connell RB Christian McCaffrey RB Ty Chandler TE Michael Mayer WR Garrett Wilson WR Jordan Addison WR Tre Tucker,,Chiefs ,DST,4.27%,7
72,4080899756,stoptheshow,0,196.36,DST Raiders  FLEX Christian McCaffrey QB Jake Browning RB James Cook RB Ezekiel Elliott TE Tucker Kraft WR DK Metcalf WR Rashee Rice WR Odell Beckham Jr.,,Najee Harris,RB,4.26%,2.3
73,4082054789,iloveyourmum101 (3/5),0,196.32,DST Rams  FLEX Christian McCaffrey QB Matthew Stafford RB Devin Singletary RB Zamir White TE David Njoku WR Rashee Rice WR Terry McLaurin WR Brandin Cooks,,Rams ,DST,4.24%,6
74,4079756641,TheFFOracle (2/5),0,196.01999,DST Raiders  FLEX Kyren Williams QB Matthew Stafford RB Christian McCaffrey RB Zack Moss TE Trey McBride WR Jayden Reed WR Zay Jones WR Demarcus Robinson,,Chuba Hubbard,RB,4.21%,12.3
75,4081770471,rymayer2 (3/20),0,195.62,DST Raiders  FLEX Christian McCaffrey QB Nick Mullens RB Kyren Williams RB Ezekiel Elliott TE Trey McBride WR Rashee Rice WR Zay Jones WR Wan'Dale Robinson,,Sam Howell,QB,4.15%,9.28
76,4081574252,skid68 (7/20),0,195.38,DST Bills  FLEX Isaiah Likely QB Brock Purdy RB Christian McCaffrey RB Kyren Williams TE David Njoku WR Deebo Samuel WR Zay Jones WR Demario Douglas,,DeVonta Smith,WR,4.13%,10
77,4079948725,Naterd141,0,195.22,DST Jets  FLEX Jahmyr Gibbs QB Matthew Stafford RB Christian McCaffrey RB Zamir White TE Isaiah Likely WR Cooper Kupp WR Amari Cooper WR Demarcus Robinson,,Evan Engram,TE,4.04%,6.8
78,4078576452,Mudskippers (1/20),0,195.12001,DST Raiders  FLEX Cooper Kupp QB Matthew Stafford RB Christian McCaffrey RB Austin Ekeler TE Isaiah Likely WR Jayden Reed WR Curtis Samuel WR Demarcus Robinson,,K.J. Osborn,WR,4.00%,1.3
79,4081238212,hiteofbob (5/6),0,194.82002,DST Patriots  FLEX Amon-Ra St. Brown QB Aidan O'Connell RB Christian McCaffrey RB Kyren Williams TE Gerald Everett WR Davante Adams WR Joshua Palmer WR Hunter Renfrow,,Alvin Kamara,FLEX,3.99%,16
80,4082012942,Fmms1234 (5/5),0,194.68,DST Raiders  FLEX Ameer Abdullah QB Brock Purdy RB Christian McCaffrey RB Zamir White TE Trey McBride WR Brandon Aiyuk WR Curtis Samuel WR Joshua Palmer,,Zay Jones,WR,3.99%,10.9
81,4081737554,tinman414 (2/3),0,194.66,DST Saints  FLEX Garrett Wilson QB Joe Flacco RB Christian McCaffrey RB Kyren Williams TE Isaiah Likely WR Amari Cooper WR Curtis Samuel WR Demarcus Robinson,,Quentin Johnston,WR,3.94%,10.3
82,4081546157,Hera88 (7/20),0,194.47998,DST Bills  FLEX Zay Jones QB Sam Howell RB Christian McCaffrey RB Kyren Williams TE Trey McBride WR Rashee Rice WR Terry McLaurin WR Demarcus Robinson,,Nick Mullens,QB,3.85%,22.12
83,4078474827,jcp82177 (1/2),0,194.37999,DST Raiders  FLEX Christian McCaffrey QB Brock Purdy RB Kyren Williams RB Ezekiel Elliott TE David Njoku WR Jayden Reed WR Odell Beckham Jr. WR Zay Jones,,Demarcus Robinson,WR,3.82%,14.7
83,4079836003,j616 (2/3),0,194.37999,DST Raiders  FLEX Christian McCaffrey QB Brock Purdy RB Kyren Williams RB Ezekiel Elliott TE David Njoku WR Jayden Reed WR Odell Beckham Jr. WR Zay Jones,,Saints ,DST,3.81%,14
83,4080775062,HurricaneCal (5/20),0,194.37999,DST Raiders  FLEX Christian McCaffrey QB Brock Purdy RB Kyren Williams RB Ezekiel Elliott TE David Njoku WR Jayden Reed WR Odell Beckham Jr. WR Zay Jones,,Bills ,DST,3.77%,9
83,4081690949,bastiat (1/6),0,194.37999,DST Raiders  FLEX Ezekiel Elliott QB Brock Purdy RB Christian McCaffrey RB Kyren Williams TE David Njoku WR Jayden Reed WR Odell Beckham Jr. WR Zay Jones,,Jordan Love,QB,3.70%,18.46
83,4081799499,DSTheBest2477 (1/2),0,194.37999,DST Raiders  FLEX Ezekiel Elliott QB Brock Purdy RB Christian McCaffrey RB Kyren Williams TE David Njoku WR Jayden Reed WR Odell Beckham Jr. WR Zay Jones,,Jake Ferguson,TE,3.66%,10.4
83,4081962211,harvick2010 (20/20),0,194.37999,DST Raiders  FLEX Christian McCaffrey QB Brock Purdy RB Kyren Williams RB Ezekiel Elliott TE David Njoku WR Jayden Reed WR Odell Beckham Jr. WR Zay Jones,,Antonio Gibson,FLEX,3.61%,8.5
89,4080825490,prock13084,0,194.36,DST Dolphins  FLEX Tyler Conklin QB Jake Browning RB Kyren Williams RB Rachaad White TE David Njoku WR Deebo Samuel WR Rashee Rice WR Jaxon Smith-Njigba,,Amari Cooper,WR,3.57%,23.9
90,4081894617,gypsie17 (9/10),0,194.20001,DST Raiders  FLEX Jaxon Smith-Njigba QB Aidan O'Connell RB Jahmyr Gibbs RB Zamir White TE T.J. Hockenson WR Cooper Kupp WR Davante Adams WR Jakobi Meyers,,George Kittle,TE,3.55%,7.4
91,4081204981,GolfAddict888,0,194.18,DST Raiders  FLEX Jahmyr Gibbs QB Brock Purdy RB D'Andre Swift RB Gus Edwards TE David Njoku WR Zay Flowers WR Terry McLaurin WR Jordan Addison,,Ravens ,DST,3.52%,9
