Rank,Full Name,id,position,name,preferred,,ADP,AVG
200,Terrace Marshall,10067,WR,Terrace Marshall,any,,201.1,6.92
201,Michael Mayer,1002795,TE,Michael Mayer,any,,216,0
202,Isaiah Likely,1001067,TE,Isaiah Likely,any,,214.7,6.52
203,Luke Musgrave,1002862,TE,Luke Musgrave,any,,212.9,0
204,Raheem Mostert,1520,RB,Raheem Mostert,any,,169.1,10.52
205,Ty Chandler,1001011,RB,Ty Chandler,any,,189.3,2
206,Zamir White,1000993,RB,Zamir White,any,,195.6,0.64
207,Marvin Jones,1608,WR,Marvin Jones,any,,229,8.24
208,Michael Carter,10049,RB,Michael Carter,any,,227.1,7.88
209,Hunter Henry,1002,TE,Hunter Henry,any,,219.9,6.93
210,Richie James,5168,WR,Richie James,any,,190.5,8.92
211,Sam Howell,1000961,QB,Sam Howell,any,,188.1,18.26
212,Logan Thomas,828,TE,Logan Thomas,any,,228.8,6.44
213,Tyquan Thornton,1001184,WR,Tyquan Thornton,any,,179.1,5.53
214,C.J. Stroud,1002790,QB,C.J. Stroud,any,,194.8,0
215,Wan'Dale Robinson,1001025,WR,Wan'Dale Robinson,any,,218.5,8.6
