Name,Status,Position,W7,E7,Avg %,Ows %,PFF %,RW %,Median,Avg,M6,P6,M5,P5,M4,P4,M3,P3,M2,P2
Matt Breida,,RB,4800.0,19.2,0.04,,0.0,0.07,7.1,6.88,0.3,1.3,0.7,3.4,2.4,12.8,2.0,10.8,0.1,0.5
Malik Cunningham,,QB,4800.0,19.2,,,,,,,,,,,,,,,,
Brett Rypien,,QB,4700.0,18.8,,,,,,,,,,,,,,,,
Antonio Gibson,,RB,4700.0,18.8,1.35,,1.1,1.59,6.35,6.68,1.9,8.6,2.3,10.4,0.8,3.6,0.9,4.4,1.7,8.3
Dorian Thompson-Robinson,,QB,4700.0,18.8,,,,,4.24,4.24,,,,,0.9,4.24,,,,
Zamir White,,RB,4700.0,18.8,0.26,,0.5,0.01,0.6,0.68,0.6,2.9,0.0,0.0,0.3,1.5,0.0,0.0,0.3,1.2
Drew Lock,,QB,4700.0,18.8,,,,,,,,,,,,,,,,
Tyler Huntley,,QB,4700.0,18.8,,,,,,,,,,,,,,,,
Teddy Bridgewater,,QB,4700.0,18.8,,,,,0.0,0.0,,,,,0.0,0.0,,,,
Jerick McKinnon,,RB,4700.0,18.8,1.41,,1.5,1.32,4.85,7.05,1.0,5.0,0.9,4.5,0.1,0.7,4.0,17.8,1.1,5.2
Rashee Rice,,WR,4700.0,18.8,4.65,3.9,5.8,4.26,8.55,8.6,2.7,11.2,3.7,13.3,1.7,6.2,3.3,10.9,1.1,4.0
Aidan O'Connell,,QB,4700.0,18.8,,,,,12.82,12.82,,,,,3.2,12.82,,,,
Jarrett Stidham,,QB,4600.0,18.4,,,,,,,,,,,,,,,,
Cam Akers,,RB,4600.0,18.4,,,,,1.9,2.72,0.5,2.5,0.8,3.8,1.4,7.1,0.0,0.0,0.0,0.0
Blaine Gabbert,,QB,4600.0,18.4,,,,,0.0,0.0,,,0.0,0.0,,,,,,
Jacoby Brissett,,QB,4600.0,18.4,,,,,,,,,,,,,,,,
Sam Ehlinger,,QB,4600.0,18.4,,,,,,,,,,,,,,,,
Roschon Johnson,Out,RB,4600.0,18.4,5.2,,10.4,0.0,4.35,4.38,0.0,0.0,0.4,1.9,0.5,2.5,1.5,6.9,1.3,6.2
Justice Hill,,RB,4600.0,18.4,2.03,0.7,2.1,3.28,5.8,6.28,1.4,6.5,3.1,13.5,0.7,3.3,0.0,0.0,1.7,8.3
Kyle Allen,,QB,4600.0,18.4,,,,,-0.2,-0.2,0.0,0.0,,,,,-0.0,-0.2,,
Jahan Dotson,,WR,4600.0,18.4,2.8,1.2,3.5,3.7,5.6,7.0,0.0,0.0,1.2,6.0,2.6,12.7,0.8,4.1,1.1,5.2
Taylor Heinicke,,QB,4600.0,18.4,,,,,0.0,0.0,,,,,0.0,0.0,,,,
Bailey Zappe,,QB,4500.0,18.0,,,,,,,,,,,,,,,,
Travis Homer,,RB,4500.0,18.0,,,,,0.0,0.0,,,,,,,,,0.0,0.0
Samaje Perine,,RB,4500.0,18.0,0.69,,1.1,0.28,5.45,6.95,0.5,2.6,2.6,12.5,1.2,5.5,0.9,4.4,1.1,5.4
Isaiah Spiller,,RB,4500.0,18.0,0.0,,0.0,0.0,0.7,1.9,0.0,0.2,,,1.2,4.7,0.2,0.7,0.1,0.3
Tyler Allgeier,,RB,4500.0,18.0,1.67,1.0,1.9,2.1,4.85,4.47,1.1,5.1,1.3,6.0,0.4,2.2,1.0,4.9,0.9,4.8
Kyle Trask,,QB,4500.0,18.0,,,,,,,,,,,,,,,,
Josh Downs,,WR,4500.0,18.0,4.54,4.6,4.4,4.63,10.7,10.62,3.2,13.1,4.2,15.7,1.5,5.4,3.9,13.7,2.3,7.7
Nathan Peterman,,QB,4500.0,18.0,,,,,,,,,,,,,,,,
Ronnie Rivers,IR,RB,4400.0,17.6,,,,,0.05,0.05,0.5,2.3,0.0,0.1,,,0.0,0.0,,
Kendrick Bourne,,WR,4400.0,17.6,10.1,8.9,16.6,4.8,6.6,6.85,4.6,19.3,1.4,6.3,1.1,5.6,1.7,8.6,1.6,6.9
Ke'Shawn Vaughn,,RB,4400.0,17.6,0.5,,0.8,0.21,0.0,0.0,0.2,0.9,,,,,,,0.0,0.0
Latavius Murray,,RB,4400.0,17.6,1.5,0.8,1.9,1.79,8.35,7.37,1.0,4.5,0.4,1.7,1.6,7.6,2.0,9.1,2.5,11.1
Clayton Tune,,QB,4400.0,17.6,,,,,,,,,,,,,,,,
Josh Reynolds,,WR,4300.0,17.2,1.24,0.4,1.3,2.03,13.75,12.78,1.8,8.0,4.2,17.6,2.4,9.9,0.0,0.0,6.4,23.6
Melvin Gordon III,,RB,4300.0,17.2,,,,,2.7,3.22,0.0,0.0,0.0,0.0,1.1,5.4,1.7,7.5,0.0,0.0
Tutu Atwell,,WR,4300.0,17.2,3.66,1.9,2.1,6.99,12.05,12.18,0.8,4.0,1.7,8.9,1.3,7.4,3.3,17.2,3.2,15.2
Robert Burns,,RB,4300.0,17.2,,,,,,,0.0,0.0,,,,,,,,
Sean Tucker,,RB,4300.0,17.2,0.0,,0.0,0.0,0.1,0.27,0.0,0.0,,,0.0,0.0,0.0,0.1,0.2,0.7
Zach Charbonnet,Questionable,RB,4300.0,17.2,1.04,,2.0,0.08,5.0,5.17,0.9,3.9,,,1.1,5.0,1.2,5.5,1.1,5.0
Bills,,DST,4200.0,16.8,4.37,3.2,5.6,4.32,10.0,17.0,,7.0,,,3.3,9.0,11.0,32.0,2.7,10.0
Cole Kmet,,TE,4200.0,16.8,3.3,4.0,2.2,3.7,11.5,13.7,0.6,2.9,3.5,15.2,6.9,27.6,1.0,4.2,1.8,7.8
Pierre Strong Jr.,,RB,4200.0,16.8,,,,,3.8,3.8,0.0,0.0,,,1.1,4.9,0.6,2.7,,
Mason Rudolph,,QB,4200.0,16.8,,,,,,,,,,,,,,,,
Elijah Moore,,WR,4200.0,16.8,7.75,8.7,5.5,9.05,7.1,7.3,1.6,6.7,,,0.4,2.0,2.7,12.8,1.8,7.1
Clyde Edwards-Helaire,,RB,4200.0,16.8,0.52,,0.9,0.15,3.0,4.77,0.6,2.6,0.1,0.4,0.5,2.3,3.1,12.7,0.9,3.7
Hunter Henry,Questionable,TE,4100.0,16.4,1.77,0.2,2.8,2.32,6.4,7.5,0.4,1.7,0.0,0.0,2.1,9.1,0.9,3.7,4.5,17.2
Sean Clifford,,QB,4100.0,16.4,,,,,,,,,,,,,,,,
Isaiah Hodgins,,WR,4100.0,16.4,0.36,,0.6,0.13,4.65,5.82,0.0,0.0,0.9,3.9,1.2,5.4,0.0,0.0,2.8,14.0
Deon Jackson,,RB,4000.0,16.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Khalil Herbert,IR,RB,4000.0,16.0,,,,,7.2,11.02,,,1.4,7.6,5.4,25.2,0.9,4.5,1.3,6.8
Max Duggan,,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Tyler Badie,,RB,4000.0,16.0,,,,,,,,,,,,,,,,
Khari Blasingame,,RB,4000.0,16.0,,,,,,,0.2,1.1,,,,,,,,
Patrick Laird,,RB,4000.0,16.0,,,,,,,,,,,,,,,,
John Wolford,,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Curtis Samuel,,WR,4000.0,16.0,6.92,8.1,5.5,7.16,12.8,12.58,3.8,14.2,5.1,18.5,5.2,18.2,2.0,7.4,1.6,6.2
Damien Harris,IR,RB,4000.0,16.0,,,,,2.2,3.75,0.0,0.1,0.3,1.3,0.6,2.9,0.3,1.5,1.7,9.3
Deneric Prince,,RB,4000.0,16.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
La'Mical Perine,,RB,4000.0,16.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,
Chris Oladokun,,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Josh Johnson,Questionable,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Nick Chubb,IR,RB,4000.0,16.0,,,,,6.4,6.4,,,,,,,,,0.8,6.4
Elijah Dotson,,RB,4000.0,16.0,,,,,0.0,1.3,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,3.9
Tommy DeVito,,QB,4000.0,16.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,
Jeff Driskel,,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Michael Burton,,RB,4000.0,16.0,,,,,0.0,0.0,0.0,0.2,,,0.0,0.0,0.0,0.0,,
Dwayne Washington,,RB,4000.0,16.0,,,,,,,,,,,,,,,,
Anthony Richardson,IR,QB,4000.0,16.0,,,,,11.08,13.19,,,0.6,4.42,4.6,30.6,0.0,0.0,2.8,17.74
Alex Armah,,RB,4000.0,16.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,
Derrick Gore,,RB,4000.0,16.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Chris Rodriguez Jr.,,RB,4000.0,16.0,,,,,0.0,0.0,,,,,,,,,0.0,0.0
Ben DiNucci,,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Jake Fromm,,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Royce Freeman,,RB,4000.0,16.0,1.03,0.9,1.6,0.58,,,,,,,,,,,,
Zach Evans,,RB,4000.0,16.0,10.7,6.4,20.8,4.89,0.0,0.0,,,,,,,,,0.0,0.0
James Conner,IR,RB,4000.0,16.0,,,,,13.1,12.6,,,0.8,4.6,1.1,6.6,3.1,19.6,3.2,19.6
Jason Cabinda,IR,RB,4000.0,16.0,,,,,,,,,,,,,,,,
Chris Myarick,IR,RB,4000.0,16.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,
Eric Gray,,RB,4000.0,16.0,0.0,,0.0,0.0,0.0,1.2,0.0,0.2,0.9,3.6,0.0,0.0,0.0,0.0,,
Corey Clement,,RB,4000.0,16.0,,,,,,,0.0,0.0,,,,,,,,
Marlon Mack,IR,RB,4000.0,16.0,,,,,,,,,,,,,,,,
Evan Hull,IR,RB,4000.0,16.0,,,,,,,,,,,,,,,,
Nate Sudfeld,IR,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Zonovan Knight,IR,RB,4000.0,16.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,
SaRodorick Thompson Jr.,,RB,4000.0,16.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,
Keith Smith,,RB,4000.0,16.0,,,,,3.8,3.8,,,1.0,3.8,,,,,,
B.J. Baylor,,RB,4000.0,16.0,,,,,,,,,,,,,,,,
Avery Williams,IR,RB,4000.0,16.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,
Godwin Igwebuike,,RB,4000.0,16.0,,,,,0.0,0.0,,,,,,,,,0.0,0.0
Henry Pearson,,RB,4000.0,16.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,
