Player,Team,Pos,Injury,Status,Est. Return
Olakunle Fatukasi,FA,LB,Concussion,Questionable,9/24/2023
Viliami Fehoko,DAL,DE,Coach's Decision,Inactive,9/18/2023
Rashad Fenton,ARI,CB,Undisclosed,IR,2/12/2024
Ethan Fernea,FA,WR,Undisclosed,Questionable,9/24/2023
Sharif Finch,FA,LB,Undisclosed,Questionable,9/24/2023
AJ Finley,LAC,S,Coach's Decision,Inactive,9/24/2023
Eric Fisher,FA,OT,Calf,Questionable,9/24/2023
Trey Flowers,NE,LB,Undisclosed,PUP-R,10/8/2023
Leonard Floyd,BUF,LB,Ankle,Questionable,9/24/2023
Drew Forbes,CLE,OG,Back,NFI-R,10/15/2023
Dee Ford,FA,DE,Back,Questionable,9/24/2023
Isaiah Ford,FA,WR,Undisclosed,Questionable,9/24/2023
Bryce Ford-Wheaton,NYG,WR,Knee,IR,2/12/2024
D'Onta Foreman,CHI,RB,Coach's Decision,Inactive,9/24/2023
Alex Forsyth,DEN,C,Coach's Decision,Inactive,9/24/2023
L.J. Fort,FA,LB,Knee - ACL,Questionable,9/24/2023
Jody Fortson,KC,TE,Shoulder,IR,2/12/2024
Leki Fotu,ARI,DT,Shoulder,Inactive,9/24/2023
John Franklin,FA,WR,Knee - ACL,Questionable,9/24/2023
Feleipe Franks,ATL,TE,Undisclosed,IR,2/12/2024
Elliott Fry,FA,K,Undisclosed,Questionable,9/24/2023
Kyle Fuller,FA,CB,Knee - ACL,Questionable,9/24/2023
Will Fuller,FA,WR,Finger,Questionable,9/24/2023
Kristian Fulton,TEN,CB,Hamstring,Inactive,9/24/2023
Russell Gage,TB,WR,Knee,IR,2/12/2024
Jon Gaines,ARI,C,Knee,IR,2/12/2024
Kenneth Gainwell,PHI,RB,Ribs,Inactive,9/25/2023
Tipa Galeai,FA,LB,Hamstring,Questionable,9/24/2023
Elijah Garcia,DEN,DT,Coach's Decision,Inactive,9/24/2023
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable,9/24/2023
Don Gardner,FA,CB,Hamstring,Questionable,9/24/2023
Ben Garland,FA,C,Calf,Questionable,9/24/2023
Joe Gaziano,ATL,DE,Coach's Decision,Inactive,9/24/2023
Mark Gilbert,FA,CB,Undisclosed,Questionable,9/24/2023
Zyon Gilbert,FA,CB,Hamstring,Questionable,9/24/2023
Cullen Gillaspia,FA,LB,Knee,Questionable,9/24/2023
Tyree Gillespie,FA,S,Knee,Questionable,9/24/2023
Steven Gilmore,DET,CB,Coach's Decision,Inactive,9/24/2023
Trevis Gipson,TEN,LB,Coach's Decision,Inactive,9/24/2023
Jordan Glasgow,FA,LB,Undisclosed,Questionable,9/24/2023
Eddie Goldman,ATL,DT,Undisclosed,Reserve-Ex,2/12/2024
Matt Gono,FA,OT,Neck,Questionable,9/24/2023
Zane Gonzalez,FA,K,Calf,Questionable,9/24/2023
Kyler Gordon,CHI,CB,Hand,IR,10/15/2023
Tay Gowan,FA,CB,Undisclosed,Questionable,9/24/2023
Alfonzo Graham,PIT,RB,Undisclosed,IR,2/12/2024
Jaeden Graham,FA,TE,Undisclosed,Questionable,9/24/2023
