full_name,posteam,position,week,carries,carries_pg,pct_team_carries,rush_yards_pg,rush_yards_pc,rush_tds,exp_rush_yards_pc,ryoe_pc,rush_epa_pp,broken_tackles,broken_tackles_rate,ybc_pc,yac_pc,rz_carries,pct_team_rz_carries,i10_carries,pct_team_i10_carries,i5_carries,pct_team_i5_carries,opps,opps_pg,hvts,hvts_pg,hvt_pct
Breece Hall,NYJ,RB,8,12,12,0.5454545455,17,1.416666667,0,3.835379517,-2.41871285,-0.4830109432,0,0,0.3333333333,1.083333333,0,0,0,0,0,0,21,21,9,9,0.4285714286
Christian McCaffrey,SF,RB,8,12,12,0.5217391304,54,4.5,1,4.506610845,-0.006610845338,-0.06681153072,0,0,3.083333333,1.416666667,0,0,0,0,0,0,19,19,7,7,0.3684210526
Dameon Pierce,HOU,RB,8,12,12,0.4,46,3.833333333,0,4.0894331,-0.2560997669,-0.09550524127,1,0.08333333333,1,2.833333333,2,0.5,1,1,1,1,12,12,1,1,0.08333333333
Darrell Henderson,LA,RB,8,12,12,0.5,31,2.583333333,0,4.791891402,-2.208558069,-0.3347864943,0,0,0.8333333333,1.75,2,1,0,0,0,0,15,15,3,3,0.2
Jonathan Taylor,IND,RB,8,12,12,0.5,95,7.916666667,0,4.917461787,2.999204879,0.1828258724,6,0.5,3.666666667,4.25,3,0.5,0,0,0,0,14,14,2,2,0.1428571429
Tony Pollard,DAL,RB,8,12,12,0.4615384615,53,4.416666667,0,5.158373368,-0.7417067009,-0.1595835463,0,0,2.75,1.666666667,2,0.5,0,0,0,0,13,13,1,1,0.07692307692
Bijan Robinson,ATL,RB,8,11,11,0.4230769231,62,5.636363636,1,4.9628317,0.6735319359,0.2371313984,0,0,3.909090909,1.727272727,4,0.4,3,0.6,2,1,16,16,8,8,0.5
Zack Moss,IND,RB,8,11,11,0.4583333333,66,6,1,3.728721385,2.271278615,0.191211053,0,0,4.909090909,1.090909091,3,0.5,1,1,1,1,12,12,2,2,0.1666666667
Brian Robinson,WAS,RB,8,10,10,0.625,59,5.9,0,4.444479295,1.455520705,-0.008314059844,0,0,3.9,2,0,0,0,0,0,0,12,12,2,2,0.1666666667
Devin Singletary,HOU,RB,8,10,10,0.3333333333,30,3,0,2.701801997,0.2981980032,-0.1632581236,4,0.4,0.6,2.4,2,0.5,0,0,0,0,12,12,2,2,0.1666666667
Pierre Strong,CLE,RB,8,10,10,0.25,41,4.1,0,4.473599365,-0.3735993654,-0.07204134971,0,0,3.3,0.8,0,0,0,0,0,0,11,11,1,1,0.09090909091
Rhamondre Stevenson,NE,RB,8,10,10,0.5263157895,39,3.9,0,3.893402179,0.006597821243,-0.04937428082,1,0.1,2.1,1.8,0,0,0,0,0,0,14,14,4,4,0.2857142857
Cam Akers,MIN,RB,8,9,9,0.2903225806,19,2.111111111,1,0,2.111111111,-0.1040666348,0,0,2.111111111,0,1,0.3333333333,1,0.5,0,0,10,10,2,2,0.2
D'Onta Foreman,CHI,RB,8,9,9,0.36,34,3.777777778,0,0,3.777777778,-0.1903855637,0,0,2.444444444,1.333333333,0,0,0,0,0,0,11,11,2,2,0.1818181818
Jerome Ford,CLE,RB,8,9,9,0.225,37,4.111111111,0,0,4.111111111,-0.2609719104,0,0,3.111111111,1,3,0.4285714286,0,0,0,0,11,11,2,2,0.1818181818
Rachaad White,TB,RB,8,9,9,0.5294117647,39,4.333333333,0,0,4.333333333,-0.2240802791,1,0.1111111111,2.222222222,2.111111111,0,0,0,0,0,0,16,16,7,7,0.4375
Royce Freeman,LA,RB,8,9,9,0.375,44,4.888888889,1,0,4.888888889,0.4145028509,0,0,2.111111111,2.777777778,0,0,0,0,0,0,9,9,0,0,0
Taysom Hill,NO,QB,8,9,9,0.25,63,7,2,0,7,0.7480094178,0,0,5.888888889,1.111111111,0,0,0,0,0,0,10,10,1,1,0.1
Isiah Pacheco,KC,RB,8,8,8,0.5,40,5,0,0,5,-0.02750361258,1,0.125,3.125,1.875,0,0,0,0,0,0,12,12,4,4,0.3333333333
Kenneth Walker,SEA,RB,8,8,8,0.4705882353,66,8.25,0,0,8.25,0.1443221303,0,0,7.125,1.125,3,0.75,0,0,0,0,10,10,2,2,0.2
Russell Wilson,DEN,QB,8,8,8,0.2,30,3.75,0,0,3.75,0.2316081464,0,0,3.75,0,0,0,0,0,0,0,8,8,0,0,0
Tyler Allgeier,ATL,RB,8,8,8,0.3076923077,31,3.875,0,0,3.875,-0.1380186342,0,0,2.5,1.375,2,0.2,1,0.2,0,0,8,8,1,1,0.125
Aaron Jones,GB,RB,8,7,7,0.4117647059,29,4.142857143,0,0,4.142857143,-0.162358252,0,0,4.142857143,0,0,0,0,0,0,0,12,12,5,5,0.4166666667
Ezekiel Elliott,NE,RB,8,7,7,0.3684210526,36,5.142857143,0,0,5.142857143,0.0449929625,0,0,2.571428571,2.571428571,2,1,0,0,0,0,7,7,0,0,0
Josh Allen,BUF,QB,8,7,7,0.2692307692,41,5.857142857,1,0,5.857142857,0.8067115027,0,0,5.142857143,0.7142857143,2,1,0,0,0,0,7,7,0,0,0
Joshua Dobbs,ARI,QB,8,7,7,0.2121212121,28,4,1,0,4,0.3975706113,0,0,0,0,1,0.1666666667,0,0,0,0,7,7,0,0,0
Najee Harris,PIT,RB,8,7,7,0.3888888889,13,1.857142857,0,0,1.857142857,-0.4185344468,0,0,0.7142857143,1.142857143,1,0.3333333333,1,1,1,1,12,12,6,6,0.5
Will Levis,TEN,QB,8,7,7,0.1944444444,11,1.571428571,0,0,1.571428571,-0.4388267238,0,0,1.285714286,0.2857142857,0,0,0,0,0,0,7,7,0,0,0
A.J. Dillon,GB,RB,8,6,6,0.3529411765,11,1.833333333,0,0,1.833333333,-0.401649299,0,0,1.5,0.3333333333,0,0,0,0,0,0,11,11,5,5,0.4545454545
Brock Purdy,SF,QB,8,6,6,0.2608695652,57,9.5,0,0,9.5,0.7348667089,0,0,9.5,0,2,1,0,0,0,0,6,6,0,0,0
Jamaal Williams,NO,RB,8,6,6,0.1666666667,30,5,0,0,5,0.1086760901,1,0.1666666667,2.833333333,2.166666667,0,0,0,0,0,0,7,7,1,1,0.1428571429
Joe Burrow,CIN,QB,8,6,6,0.2222222222,43,7.166666667,0,0,7.166666667,0.724944737,0,0,6.5,0.6666666667,0,0,0,0,0,0,6,6,0,0,0
Joshua Kelley,LAC,RB,8,6,6,0.24,21,3.5,0,0,3.5,-0.197698329,0,0,1.833333333,1.666666667,1,0.5,0,0,0,0,6,6,0,0,0
P.J. Walker,CLE,QB,8,6,6,0.15,27,4.5,0,0,4.5,0.2518747172,0,0,4.5,0,2,0.2857142857,0,0,0,0,6,6,0,0,0
Roschon Johnson,CHI,RB,8,6,6,0.24,21,3.5,0,0,3.5,-0.6038397348,0,0,2.333333333,1.166666667,1,0.5,0,0,0,0,10,10,4,4,0.4
