PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Myles Turner,IND,IND vs. PHI,01/25/2024,W,27,20,7,12,58.3,3,6,50,3,4,75,3,6,9,1,1,2,1,4,21,40.3
Kelly Oubre Jr.,PHI,PHI @ IND,01/25/2024,L,22,4,2,5,40,0,2,0,0,1,0,1,1,2,2,1,3,0,4,-14,21.4
Joel Embiid,PHI,PHI @ IND,01/25/2024,L,31,31,11,20,55,2,4,50,7,10,70,1,6,7,3,0,0,2,1,-20,41.9
Patrick Beverley,PHI,PHI @ IND,01/25/2024,L,19,4,1,6,16.7,0,3,0,2,3,66.7,0,3,3,5,0,1,2,3,-15,16.1
Nicolas Batum,PHI,PHI @ IND,01/25/2024,L,22,10,4,5,80,2,3,66.7,0,0,-,0,3,3,1,0,0,1,2,-14,14.1
Peyton Watson,DEN,DEN @ NYK,01/25/2024,L,23,7,3,8,37.5,0,4,0,1,2,50,1,3,4,3,0,2,2,2,-12,20.3
Christian Braun,DEN,DEN @ NYK,01/25/2024,L,15,4,1,4,25,0,1,0,2,2,100,1,2,3,0,0,0,1,1,-10,6.6
Miles McBride,NYK,NYK vs. DEN,01/25/2024,W,21,13,4,9,44.4,4,5,80,1,2,50,0,1,1,1,2,0,0,2,14,21.7
Precious Achiuwa,NYK,NYK vs. DEN,01/25/2024,W,23,2,1,4,25,0,0,-,0,0,-,6,4,10,3,0,1,0,1,18,21.5
Quentin Grimes,NYK,NYK vs. DEN,01/25/2024,W,23,19,7,11,63.6,2,5,40,3,3,100,0,5,5,0,0,0,2,0,13,23
Josh Hart,NYK,NYK vs. DEN,01/25/2024,W,26,4,2,5,40,0,2,0,0,0,-,0,7,7,3,1,1,0,0,6,22.9
OG Anunoby,NYK,NYK vs. DEN,01/25/2024,W,29,26,10,18,55.6,3,9,33.3,3,5,60,0,2,2,1,6,0,1,2,38,46.9
Justin Holiday,DEN,DEN @ NYK,01/25/2024,L,12,4,2,4,50,0,2,0,0,0,-,0,1,1,0,1,0,0,2,-6,8.2
Reggie Jackson,DEN,DEN @ NYK,01/25/2024,L,24,2,1,7,14.3,0,1,0,0,0,-,1,0,1,3,0,0,0,2,-16,7.7
DeAndre Jordan,DEN,DEN @ NYK,01/25/2024,L,11,0,0,2,0,0,0,-,0,0,-,2,3,5,0,0,0,0,0,-8,6
Hunter Tyson,DEN,DEN @ NYK,01/25/2024,L,7,0,0,3,0,0,3,0,0,0,-,0,1,1,0,0,0,2,1,-1,-0.8
Jay Huff,DEN,DEN @ NYK,01/25/2024,L,5,3,1,2,50,1,2,50,0,0,-,0,0,0,0,0,0,0,2,-3,3
Austin Reaves,LAL,LAL vs. CHI,01/25/2024,W,33,20,7,9,77.8,2,3,66.7,4,4,100,0,3,3,8,0,0,1,4,14,34.6
