Rank,Player,Team,Position,ADP,Projected Points,Notes,Receiver Depth
54,Tucker Kraft,GB,TE,47.7,355.5167167,,2
55,Rashee Rice,KC,WR,41.04,354.351571,,1
56,Kyle Pitts,ATL,TE,54.59,348.7329181,,3
57,DeVonta Smith,PHI,WR,39.88,347.23723,,1
58,Sam LaPorta,DET,TE,59.28,344.2627063,,3
59,Breece Hall,NYJ,RB,48.84,342.7649062,,
60,Tee Higgins,CIN,WR,46.43,342.1331448,Best Ball,2
61,Cam Ward,TEN,QB,119.66,341.9438661,Tier 4,
62,Chase Brown,CIN,RB,35.13,334.0672608,Receiver,2
63,Travis Kelce,KC,TE,78.51,332.5666356,,2
64,Chris Olave,NO,WR,38.86,331.0632295,,1
65,Jaylen Waddle,DEN,WR,56.28,327.215464,Best Ball,1
66,Tetairoa McMillan,CAR,WR,43.28,323.6019192,,1
67,Emeka Egbuka,TB,WR,49.01,322.7330247,,1
68,Christian Watson,GB,WR,69.88,322.6346904,Best Ball,1
69,Omarion Hampton,LAC,RB,28.81,320.3813721,,3
70,Josh Jacobs,GB,RB,58.84,317.7544102,,3
71,Davante Adams,LAR,WR,66.93,317.0430203,,2
72,Dallas Goedert,PHI,TE,98.2,316.7600239,,2
73,Jeremiyah Love,ARI,RB,39.38,316.2544989,Receiver,3
74,Parker Washington,JAX,WR,92.83,315.6721825,,1
75,Travis Etienne,NO,RB,63.33,313.6156752,,3
76,George Kittle,SF,TE,73.51,311.2800107,,2
77,Dalton Kincaid,BUF,TE,85.77,310.8547166,,2
78,Garrett Wilson,NYJ,WR,46.13,307.3324436,,1
79,Ladd McConkey,LAC,WR,48.51,306.7312284,,1
80,Cam Skattebo,NYG,RB,74.35,306.5799355,Receiver,3
81,Kyren Williams,LAR,RB,55.1,305.1234787,,3
82,Bucky Irving,TB,RB,72.52,300.8922586,,4
83,Terry McLaurin,WAS,WR,61.52,300.2946089,,1
84,Jordan Addison,MIN,WR,106.66,297.6714446,Best Ball,2
85,Javonte Williams,DAL,RB,65.55,295.9947743,,4
86,Fernando Mendoza,LV,QB,140.97,295.971515,Tier 4,
87,Brenton Strange,JAX,TE,112.33,294.4257289,,3
88,DJ Moore,BUF,WR,66.72,293.732778,,1
89,DK Metcalf,PIT,WR,88.25,293.5725853,,1
90,Quinshon Judkins,CLE,RB,78.59,293.452067,,3
91,Rome Odunze,CHI,WR,70.9,291.9595224,,3
92,Mike Evans,SF,WR,68.8,288.6916025,Best Ball,2
93,Rhamondre Stevenson,NE,RB,119.77,284.2104704,,3
94,Juwan Johnson,NO,TE,121.43,281.556559,,2
95,David Montgomery,HOU,RB,88.41,281.2136277,Receiver,3
96,Isaiah Likely,NYG,TE,94.54,280.6378237,,2
97,Alec Pierce,IND,WR,81.51,280.2317815,Best Ball,1
98,Hunter Henry,NE,TE,116.24,279.3978857,,3
99,D'Andre Swift,CHI,RB,84.88,278.9497294,Receiver,3
100,Jayden Reed,GB,WR,114.55,277.465125,Best Ball,2
101,Mark Andrews,BAL,TE,96.7,276.2803362,,2
102,Courtland Sutton,DEN,WR,92.3,272.8278382,,2
103,Kenyon Sadiq,NYJ,TE,122.88,272.6042603,,4
104,Jake Ferguson,DAL,TE,90.55,270.5992196,,3
105,Malik Nabers,NYG,WR,35.61,270.2043085,,1
106,Rico Dowdle,PIT,RB,120.67,266.0853452,,4
107,Bhayshul Tuten,JAX,RB,83.86,263.4417303,,3
108,Jaylen Warren,PIT,RB,108.06,262.9808982,Receiver,2
109,Tony Pollard,TEN,RB,118.67,262.6025782,,
110,Dalton Schultz,HOU,TE,129.23,259.5072722,,3
111,Carnell Tate,TEN,WR,68.75,257.6569423,,1
112,Jakobi Meyers,JAX,WR,108.71,256.2482114,,2
113,Cade Otton,TB,TE,154.08,254.3785966,,3
114,Pat Freiermuth,PIT,TE,172.05,252.2248149,,4
115,Jordyn Tyson,NO,WR,87.78,252.0140042,,2
116,Wan'Dale Robinson,TEN,WR,115.94,250.2598388,,2
117,TreVeyon Henderson,NE,RB,70.17,250.0269256,Receiver,3
118,Quentin Johnston,LAC,WR,106.55,249.4810118,,2
119,Greg Dulcich,MIA,TE,160.43,249.346068,,2
120,T.J. Hockenson,MIN,TE,134.43,248.355875,,3
121,Ricky Pearsall,SF,WR,110.93,244.713573,Best Ball,3
122,Romeo Doubs,NE,WR,132.52,244.0305106,Best Ball,2
123,Jadarian Price,SEA,RB,99.09,242.4622059,,
124,Michael Wilson,ARI,WR,101.75,242.1255488,Best Ball,2
125,Chig Okonkwo,WAS,TE,126.6,239.9161985,,3
126,Kenneth Gainwell,TB,RB,127.44,239.3422596,Receiver,3
127,Michael Pittman,PIT,WR,111.15,235.2979351,,2
128,Chuba Hubbard,CAR,RB,113.94,232.2314114,Receiver,3
129,Matthew Golden,GB,WR,129.78,231.7091478,Best Ball,4
130,Josh Downs,IND,WR,113.09,220.218579,Best Ball,2
131,Xavier Worthy,KC,WR,119.99,217.9993583,Best Ball,3
132,Gunnar Helm,TEN,TE,156.26,209.7825193,,2
133,Jalen McMillan,TB,WR,162.4,206.1387211,,3
134,Jalen Coker,CAR,WR,133.83,206.1205336,,2
135,Khalil Shakir,BUF,WR,129.29,205.3453301,,2
136,Shedeur Sanders,CLE,QB,191.15,200.2895905,Tier 4,
137,Aaron Jones,MIN,RB,140.38,200.0555617,Receiver,3
138,KC Concepcion,CLE,WR,132.12,198.6363462,,2
139,Jayden Higgins,HOU,WR,134.65,196.3726995,,2
140,Jalen Nailor,LV,WR,163.71,195.0214373,Best Ball,2
141,Kyle Monangai,CHI,RB,130.8,194.6625207,,3
142,AJ Barner,SEA,TE,140.52,194.4694634,,3
143,RJ Harvey,DEN,RB,108.36,193.7667961,Receiver,3
144,Ryan Flournoy,DAL,WR,184.57,191.7782633,Best Ball,3
145,Makai Lemon,PHI,WR,100.36,191.1959548,,3
146,Deshaun Watson,CLE,QB,205.53,190.929236,Tier 4,
147,Tua Tagovailoa,ATL,QB,164.38,186.8582716,Tier 3,
148,J.K. Dobbins,DEN,RB,125.92,185.1775508,,5
149,Tre Tucker,LV,WR,175.77,184.8721036,,2
150,Jauan Jennings,MIN,WR,163.1,183.6850617,,3
151,Blake Corum,LAR,RB,135.77,183.0058898,,3
152,Colby Parkinson,LAR,TE,174.56,182.5259081,,3
153,David Njoku,LAC,TE,167.69,179.3329171,,3
154,Cooper Kupp,SEA,WR,207.68,178.8541856,Best Ball,3
155,Rashid Shaheed,SEA,WR,142,178.1270985,Best Ball,2
156,Antonio Williams,WAS,WR,166.76,177.4445704,,3
157,Jonathon Brooks,CAR,RB,141.33,176.4876127,,4
158,Adonai Mitchell,NYJ,WR,183.2,176.0655531,Best Ball,2
159,Mike Gesicki,CIN,TE,191.34,175.7149352,,4
160,Kenneth Walker III,KC,RB,30.94,175.3705159,,3
161,Jaylin Noel,HOU,WR,211.8,174.4101526,,3
162,Evan Engram,DEN,TE,199.23,171.9946593,,4
163,Rachaad White,WAS,RB,148.45,170.6494355,Receiver,3
164,Michael Mayer,LV,TE,221.44,169.0436331,,4
165,Tyjae Spears,TEN,RB,176.02,167.2861383,Receiver,3
166,Isiah Pacheco,DET,RB,187.89,166.4162658,,5
167,Harold Fannin Jr.,CLE,TE,52.03,166.0735441,,1
168,Jerry Jeudy,CLE,WR,179.05,162.8636072,,2
169,Brian Thomas Jr.,JAX,WR,79.52,161.7616182,Best Ball,3
170,Cole Kmet,CHI,TE,232.5,160.3569733,,4
171,Terrance Ferguson,LAR,TE,172.05,158.3783176,,3
172,Germie Bernard,PIT,WR,206.35,157.6478474,,4
173,Calvin Ridley,TEN,WR,202.24,156.5131208,Best Ball,4
174,Justice Hill,BAL,RB,227.11,154.804315,Receiver,4
175,Luther Burden III,CHI,WR,54.07,154.3605629,,2
176,Tyquan Thornton,KC,WR,213.17,151.7395411,Best Ball,4
177,Darnell Washington,PIT,TE,212.29,150.8040528,,4
178,Rashod Bateman,BAL,WR,216.62,150.7877771,,4
179,Mason Taylor,NYJ,TE,199.04,149.9259736,,3
180,Dontayvion Wicks,PHI,WR,215.11,144.1271548,Best Ball,3
181,Dawson Knox,BUF,TE,213.83,140.8634411,,4
182,Tyler Higbee,LAR,TE,235,140.406849,,3
183,Isaac TeSlaa,DET,WR,182.42,140.3767595,Best Ball,4
184,Woody Marks,HOU,RB,173.85,140.2301035,Receiver,2
185,Theo Johnson,NYG,TE,202.83,139.5834671,,3
186,Marvin Harrison Jr.,ARI,WR,86.13,138.9142455,,3
187,Denzel Boston,CLE,WR,158.58,138.1308008,,4
188,Darius Slayton,NYG,WR,234.6,135.3756444,,4
189,Troy Franklin,DEN,WR,203.85,135.1866632,Best Ball,4
190,Andrei Iosivas,CIN,WR,228.35,134.1656742,Best Ball,3
191,Ja'Tavion Sanders,CAR,TE,228.5,132.9093438,,5
192,Brian Robinson,ATL,RB,169.37,128.4497383,,5
