Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
Jamal Agnew,37042426,WR/FLEX,3000,PIT@BAL 12/21/2024 04:30PM ET,PIT,0
Quez Watkins,37042428,WR/FLEX,3000,PIT@BAL 12/21/2024 04:30PM ET,PIT,0
Chiefs,37042857,DST,2700,HOU@KC 12/21/2024 01:00PM ET,KC,6.43
Darnell Washington,37042580,TE/FLEX,2600,PIT@BAL 12/21/2024 04:30PM ET,PIT,3.09
Anthony Firkser,37042796,TE/FLEX,2500,HOU@KC 12/21/2024 01:00PM ET,KC,0
Jared Wiley,37042798,TE/FLEX,2500,HOU@KC 12/21/2024 01:00PM ET,KC,0.24
Jody Fortson,37042800,TE/FLEX,2500,HOU@KC 12/21/2024 01:00PM ET,KC,0.5
Peyton Hendershot,37042802,TE/FLEX,2500,HOU@KC 12/21/2024 01:00PM ET,KC,1.12
James Winchester,37042804,TE/FLEX,2500,HOU@KC 12/21/2024 01:00PM ET,KC,0
Baylor Cupp,37042806,TE/FLEX,2500,HOU@KC 12/21/2024 01:00PM ET,KC,0
Cade Stover,37042808,TE/FLEX,2500,HOU@KC 12/21/2024 01:00PM ET,HOU,2.55
Irv Smith Jr.,37042810,TE/FLEX,2500,HOU@KC 12/21/2024 01:00PM ET,HOU,0
Teagan Quitoriano,37042812,TE/FLEX,2500,HOU@KC 12/21/2024 01:00PM ET,HOU,0
Brevin Jordan,37042814,TE/FLEX,2500,HOU@KC 12/21/2024 01:00PM ET,HOU,1.35
Dalton Keene,37042816,TE/FLEX,2500,HOU@KC 12/21/2024 01:00PM ET,HOU,0
Charlie Kolar,37042784,TE/FLEX,2500,PIT@BAL 12/21/2024 04:30PM ET,BAL,2.36
Zaire Mitchell-Paden,37042786,TE/FLEX,2500,PIT@BAL 12/21/2024 04:30PM ET,BAL,0
Scotty Washington,37042788,TE/FLEX,2500,PIT@BAL 12/21/2024 04:30PM ET,BAL,0
MyCole Pruitt,37042790,TE/FLEX,2500,PIT@BAL 12/21/2024 04:30PM ET,PIT,0.99
Connor Heyward,37042792,TE/FLEX,2500,PIT@BAL 12/21/2024 04:30PM ET,PIT,0.92
Matt Sokol,37042794,TE/FLEX,2500,PIT@BAL 12/21/2024 04:30PM ET,PIT,0
Steelers,37042862,DST,2500,PIT@BAL 12/21/2024 04:30PM ET,PIT,9.71

