Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Dameon Pierce (40235970),Dameon Pierce,40235970,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,HOU,0.5
RB,British Brooks (40235972),British Brooks,40235972,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,HOU,0
RB,Jawhar Jordan (40235974),Jawhar Jordan,40235974,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,HOU,0
TE,Mark Andrews (40236364),Mark Andrews,40236364,TE/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,BAL,10
QB,Hendon Hooker (40235742),Hendon Hooker,40235742,QB,4000,MIA@CAR 10/05/2025 01:00PM ET,CAR,0
QB,Quinn Ewers (40235743),Quinn Ewers,40235743,QB,4000,MIA@CAR 10/05/2025 01:00PM ET,MIA,0
RB,Trevor Etienne (40235948),Trevor Etienne,40235948,RB/FLEX,4000,MIA@CAR 10/05/2025 01:00PM ET,CAR,0.98
RB,Jonathon Brooks (40235950),Jonathon Brooks,40235950,RB/FLEX,4000,MIA@CAR 10/05/2025 01:00PM ET,CAR,0
RB,DeeJay Dallas (40235952),DeeJay Dallas,40235952,RB/FLEX,4000,MIA@CAR 10/05/2025 01:00PM ET,CAR,0
RB,Alexander Mattison (40235954),Alexander Mattison,40235954,RB/FLEX,4000,MIA@CAR 10/05/2025 01:00PM ET,MIA,0
RB,Jeff Wilson Jr. (40235956),Jeff Wilson Jr.,40235956,RB/FLEX,4000,MIA@CAR 10/05/2025 01:00PM ET,MIA,0
RB,JaMycal Hasty (40235958),JaMycal Hasty,40235958,RB/FLEX,4000,MIA@CAR 10/05/2025 01:00PM ET,MIA,0
RB,Alec Ingold (40235960),Alec Ingold,40235960,RB/FLEX,4000,MIA@CAR 10/05/2025 01:00PM ET,MIA,1.47
QB,Anthony Richardson Sr. (40235708),Anthony Richardson Sr.,40235708,QB,4000,LV@IND 10/05/2025 01:00PM ET,IND,-0.1
QB,Kenny Pickett (40235737),Kenny Pickett,40235737,QB,4000,LV@IND 10/05/2025 01:00PM ET,LV,0
