Rank,Player,Team,Position Rank,Position,Fantasy Positions,ADP,Age,Notes
301,Charlie Kolar,LAC,TE41,TE,TE,215.6,,
302,Tua Tagovailoa,ATL,QB31,QB,QB,206.3,,
303,Jake Tonges,SF,TE35,TE,TE,213,,
304,Kirk Cousins,LV,QB33,QB,QB,214.9,,
305,Deshaun Watson,CLE,QB34,QB,QB,215,,
306,Hollywood Brown,PHI,WR105,WR,WR,215,,
400,Shedeur Sanders,CLE,QB32,QB,QB,213.4,,
400,Michael Penix,ATL,QB35,QB,QB,215.2,,
400,Luke McCaffrey,WAS,WR110,WR,WR,215.4,,
400,Eli Raridon,NE,TE39,TE,TE,215.5,,
400,Malik Davis,DAL,RB75,RB,RB,215.6,,
400,Justin Joly,DEN,TE41,TE,TE,215.6,,
400,Ollie Gordon,MIA,RB76,RB,RB,215.6,,
400,Oscar Delp,NO,TE43,TE,TE,215.6,,
400,Devontez Walker,BAL,WR114,WR,WR,215.6,,
400,Mac Jones,SF,QB36,QB,QB,215.7,,
400,Savion Williams,GB,WR116,WR,WR,215.7,,
400,Greg Dortch,DET,WR117,WR,WR,215.7,,
400,Jordan Whittington,LAR,WR120,WR,WR,215.8,,
400,Mo Alie-Cox,IND,TE48,TE,TE,215.8,,
400,Teddy Bridgewater,DET,QB37,QB,QB,215.8,,
400,Joe Flacco,CIN,QB38,QB,QB,215.8,,
400,Sam Roush,CHI,TE49,TE,TE,215.8,,
400,J.J. McCarthy,MIN,QB38,QB,QB,215.8,,
400,Nick Mullens,JAX,QB40,QB,QB,215.8,,
400,Ashton Dulin,IND,WR122,WR,WR,215.8,,
400,Justin Fields,KC,QB41,QB,QB,215.9,,
400,Adam Randall,BAL,RB81,RB,RB,215.9,,
400,Konata Mumpfield,LAR,WR125,WR,WR,215.9,,
400,Tanner Koziol,JAX,TE50,TE,TE,215.9,,
400,Anthony Richardson,IND,QB42,QB,QB,215.9,,
400,Kevin Coleman,MIA,WR128,WR,WR,215.9,,
400,Marcus Mariota,WAS,QB43,QB,QB,215.9,,
400,Carson Beck,ARI,QB44,QB,QB,215.9,,
400,Charlie Jones,CIN,WR132,WR,WR,215.9,,
400,Daniel Bellinger,TEN,TE51,TE,TE,215.9,,
400,Isaiah Williams,NYJ,WR135,WR,WR,215.9,,
400,Dameon Pierce,PHI,RB84,RB,RB,215.9,,
400,Adam Trautman,DEN,TE53,TE,TE,216,,
400,Calvin Austin III,NYG,WR137,WR,WR,216,,
400,Trey Benson,ARI,RB85,RB,RB,216,,
400,Eli Heidenreich,PIT,RB85,RB,RB,216,,
400,Bryce Lance,NO,WR138,WR,WR,216,,
400,Odell Beckham Jr.,NYG,WR138,WR,WR,216,,
400,Durham Smythe,BAL,TE56,TE,TE,216,,
400,Foster Moreau,HOU,TE56,TE,TE,216,,
400,Ben Sinnott,WAS,TE58,TE,TE,216,,
400,Jaylin Lane,WAS,WR141,WR,WR,216,,
400,Tai Felton,MIN,WR141,WR,WR,216,,
400,Tyler Huntley,BAL,QB45,QB,QB,216,,
400,Darren Waller,FA,TE59,TE,TE,216,,
400,CJ Daniels,LAR,WR144,WR,WR,216,,
400,Tom Kennedy,DET,WR144,WR,WR,216,,
400,Theo Wease,MIA,,WR,WR,-,,
400,Will Kacmarek,MIA,,TE,TE,-,,
400,Josh Cameron,JAX,,WR,WR,-,,
400,Joe Royer,CLE,,TE,TE,-,,
400,Max Klare,LAR,,TE,TE,-,,
400,Jack Endries,CIN,,TE,TE,-,,
400,Jerome Ford,WAS,,RB,RB,-,,
400,Elijah Higgins,ARI,,TE,TE,-,,
400,Jalen Royals,KC,,WR,WR,-,,
400,Rasheen Ali,BAL,,RB,RB,-,,
400,Taylen Green,CLE,,QB,QB,-,,
400,Luke Musgrave,GB,,TE,TE,-,,
400,Xavier Hutchinson,HOU,,WR,WR,-,,
400,Devin Neal,NO,,RB,RB,-,,
400,John Metchie III,CAR,,WR,WR,-,,
400,Kaleb Johnson,PIT,,RB,RB,-,,
400,Derek Carr,FA,,QB,QB,-,,
400,KeAndre Lambert-Smith,LAC,,WR,WR,-,,
400,J'Mari Taylor,JAX,,RB,RB,-,,
400,Gardner Minshew II,ARI,,QB,QB,-,,
400,Van Jefferson,WAS,,WR,WR,-,,
400,Michael Trigg,DAL,,TE,TE,-,,
400,Austin Hooper,ATL,,TE,TE,-,,
400,Cade Stover,HOU,,TE,TE,-,,
400,Demarcus Robinson,SF,,WR,WR,-,,
400,JuJu Smith-Schuster,NYG,,WR,WR,-,,
400,Jackson Hawes,BUF,,TE,TE,-,,
400,Mitchell Evans,CAR,,TE,TE,-,,
400,Kevin Austin,NO,,WR,WR,-,,
400,John Bates,WAS,,TE,TE,-,,
400,Matt Hibner,BAL,,TE,TE,-,,
400,Efton Chism,NE,,WR,WR,-,,
400,Miles Kitselman,DET,,TE,TE,-,,
400,Drew Sample,CIN,,TE,TE,-,,
400,Jaren Kanak,TEN,,TE,TE,-,,
400,Lance Mason,SEA,,TE,TE,-,,
400,Aaron Anderson,CLE,,WR,WR,-,,
400,Barion Brown,NO,,WR,WR,-,,
400,Will Howard,PIT,,QB,QB,-,,
400,Dont'e Thornton,LV,,WR,WR,-,,
400,Tyrell Shavers,BUF,,WR,WR,-,,
400,Drew Allar,PIT,,QB,QB,-,,
400,Cade Klubnik,NYJ,,QB,QB,-,,
400,Eric Rivers,TB,,WR,WR,-,,
400,Marlin Klein,HOU,,TE,TE,-,,
400,Brevyn Spann-Ford,DAL,,TE,TE,-,,
400,Marquez Valdes-Scantling,DAL,,WR,WR,-,,
400,John Michael Gyllenborg,KC,,TE,TE,-,,
