full_name,posteam,position,week,targets,targets_pg,target_share,receptions,rec_pg,rec_ypg,rec_tds,rz_targets_pg,rz_target_share,rec_drops,rec_drop_rate,rec_ay_pg,ay_share,rec_adot,wopr,racr,yac,yac_pr
Keenan Allen,LAC,WR,7,9,9,0.2571428571,4,4,55,0,0,0,9,1,95,0.2932098765,10.55555556,0.5652469136,0.5789473684,13,3.25
D.J. Moore,CHI,WR,7,9,9,0.2903225806,8,8,54,0,0,0,9,1,30,0.5660377358,3.333333333,0.802678028,1.8,29,3.625
Jauan Jennings,SF,WR,7,9,9,0.2903225806,5,5,54,0,0,0,0,0,70,0.2916666667,7.777777778,0.6106182796,0.7714285714,21,4.2
Terry McLaurin,WAS,WR,7,9,9,0.1875,6,6,90,0,2,0.1666666667,9,1,115,0.3050397878,12.77777778,0.4760278515,0.7826086957,18,3
Mike Evans,TB,WR,7,8,8,0.1777777778,6,6,82,1,2,0.3333333333,0,0,87,0.2735849057,10.875,0.4403983229,0.9425287356,23,3.833333333
Dalton Kincaid,BUF,TE,7,8,8,0.1860465116,8,8,75,0,1,0.1666666667,0,0,37,0.08240534521,4.625,0.3181488579,2.027027027,38,4.75
Amari Cooper,CLE,WR,7,8,8,0.2051282051,2,2,22,0,2,0.3333333333,16,2,123,0.4059405941,15.375,0.571337903,0.1788617886,1,0.5
Rashid Shaheed,NO,WR,7,8,8,0.1403508772,4,4,28,1,2,0.25,0,0,76,0.2360248447,9.5,0.3617086194,0.3684210526,16,4
George Pickens,PIT,WR,7,8,8,0.2962962963,5,5,107,0,1,0.3333333333,8,1,131,0.6150234742,16.375,0.8453312467,0.8167938931,34,6.8
Cooper Kupp,LA,WR,7,8,8,0.25,2,2,31,0,0,0,16,2,49,0.1863117871,6.125,0.480418251,0.6326530612,0,0
Curtis Samuel,WAS,WR,7,8,8,0.1666666667,4,4,25,0,1,0.08333333333,0,0,57,0.151193634,7.125,0.3391688771,0.4385964912,14,3.5
Jahan Dotson,WAS,WR,7,8,8,0.1666666667,5,5,43,0,2,0.1666666667,8,1,75,0.198938992,9.375,0.3725906278,0.5733333333,11,2.2
Darren Waller,NYG,TE,7,8,8,0.2424242424,7,7,98,1,1,0.1428571429,0,0,76,0.2389937107,9.5,0.5066895369,1.289473684,31,4.428571429
