RK,NAME,TEAM,POS,WK,OPP,RECEIVING_TGTS,RECEIVING_REC,CATCH%,RECEIVING_YDS,RECEIVING_TD,LONG,YDS/TGT,YDS/REC,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,FUMBLES,FUMBLES_LOST,FPTS
9,AJ Barner,SEA,TE,2,PIT,3,2,66.7,26,1,19,8.7,13.0,1,2,2.0,0,0,0,10.8
10,Travis Kelce,KC,TE,2,PHI,6,4,66.7,61,0,23,10.2,15.2,0,0,,0,0,0,10.1
11,Adam Trautman,DEN,TE,2,IND,3,3,100.0,10,1,7,3.3,3.3,0,0,,0,0,0,10.0
12,Harold Fannin Jr.,CLE,TE,2,BAL,5,5,100.0,48,0,20,9.6,9.6,0,0,,0,0,0,9.8
13,Luke Farrell,SF,TE,2,NO,3,2,66.7,15,1,11,5.0,7.5,0,0,,0,0,0,9.5
14,Brock Bowers,LV,TE,2,LAC,8,5,62.5,38,0,9,4.8,7.6,0,0,,0,0,0,8.8
15,David Njoku,CLE,TE,2,BAL,5,4,80.0,40,0,23,8.0,10.0,0,0,,0,0,0,8.0
16,Davis Allen,LAR,TE,2,TEN,1,1,100.0,8,1,8,8.0,8.0,0,0,,0,0,0,7.8
17,Dalton Kincaid,BUF,TE,2,NYJ,6,4,66.7,37,0,18,6.2,9.2,0,0,,0,0,0,7.7
18,Tyler Higbee,LAR,TE,2,TEN,4,4,100.0,37,0,20,9.2,9.2,0,0,,0,0,0,7.7
19,Kyle Pitts Sr.,ATL,TE,2,MIN,5,4,80.0,37,0,14,7.4,9.2,0,0,,0,0,0,7.7
20,Jeremy Ruckert,NYJ,TE,2,BUF,1,1,100.0,5,1,5,5.0,5.0,0,0,,0,0,0,7.5
21,Chig Okonkwo,TEN,TE,2,LAR,6,4,66.7,35,0,14,5.8,8.8,0,0,,0,0,0,7.5
22,Theo Johnson,NYG,TE,2,DAL,5,4,80.0,34,0,14,6.8,8.5,0,0,,0,0,0,7.4
23,Jake Tonges,SF,TE,2,NO,5,4,80.0,31,0,11,6.2,7.8,0,0,,0,0,0,7.1
24,Austin Hooper,NE,TE,2,MIA,3,3,100.0,38,0,22,12.7,12.7,0,0,,0,0,0,6.8
25,Jonnu Smith,PIT,TE,2,SEA,4,4,100.0,27,0,10,6.8,6.8,0,0,,0,0,0,6.7
26,Elijah Higgins,ARI,TE,2,CAR,3,2,66.7,45,0,27,15.0,22.5,0,0,,0,0,0,6.5
27,Pat Freiermuth,PIT,TE,2,SEA,4,3,75.0,31,0,20,7.8,10.3,0,0,,0,0,0,6.1
28,Dalton Schultz,HOU,TE,2,TB,4,3,75.0,29,0,16,7.2,9.7,0,0,,0,0,0,5.9
29,Noah Fant,CIN,TE,2,JAX,4,3,75.0,28,0,25,7.0,9.3,0,0,,0,0,0,5.8
30,Sam LaPorta,DET,TE,2,CHI,4,3,75.0,26,0,10,6.5,8.7,0,0,,0,0,0,5.6
31,Cade Otton,TB,TE,2,HOU,4,3,75.0,25,0,12,6.2,8.3,0,0,,0,0,0,5.5
32,Luke Musgrave,GB,TE,2,WAS,2,2,100.0,32,0,23,16.0,16.0,0,0,,0,0,0,5.2
33,Elijah Arroyo,SEA,TE,2,PIT,3,2,66.7,31,0,24,10.3,15.5,0,0,,0,0,0,5.1
34,Tommy Tremble,CAR,TE,2,ARI,3,3,100.0,20,0,9,6.7,6.7,0,0,,0,0,0,5.0
35,Cole Kmet,CHI,TE,2,DET,2,2,100.0,29,0,22,14.5,14.5,0,0,,0,0,0,4.9
36,Mike Gesicki,CIN,TE,2,JAX,4,3,75.0,18,0,10,4.5,6.0,0,0,,0,0,0,4.8
37,Brenton Strange,JAX,TE,2,CIN,5,3,60.0,17,0,10,3.4,5.7,0,0,,0,0,0,4.7
38,Dawson Knox,BUF,TE,2,NYJ,5,2,40.0,19,0,12,3.8,9.5,0,0,,0,0,0,3.9
39,Gunnar Helm,TEN,TE,2,LAR,2,2,100.0,9,0,7,4.5,4.5,0,0,,0,0,0,2.9
40,Michael Mayer,LV,TE,2,LAC,2,2,100.0,9,0,6,4.5,4.5,0,0,,0,0,0,2.9
41,T.J. Hockenson,MIN,TE,2,ATL,3,1,33.3,12,0,12,4.0,12.0,0,0,,0,0,0,2.2
42,Evan Engram,DEN,TE,2,IND,2,1,50.0,12,0,12,6.0,12.0,0,0,,0,0,0,2.2
43,Darnell Washington,PIT,TE,2,SEA,1,0,0.0,0,0,0,0.0,,0,0,,0,0,0,2.0
44,Hunter Henry,NE,TE,2,MIA,3,1,33.3,9,0,9,3.0,9.0,0,0,,0,0,0,1.9
45,Mitchell Evans,CAR,TE,2,ARI,1,1,100.0,9,0,9,9.0,9.0,0,0,,0,0,0,1.9
46,Mo Alie-Cox,IND,TE,2,DEN,1,1,100.0,8,0,8,8.0,8.0,0,0,,0,0,0,1.8
47,Ben Sinnott,WAS,TE,2,GB,1,1,100.0,7,0,7,7.0,7.0,0,0,,0,0,0,1.7
48,Drew Sample,CIN,TE,2,JAX,2,1,50.0,7,0,7,3.5,7.0,0,0,,0,0,0,1.7
49,Will Dissly,LAC,TE,2,LV,1,1,100.0,7,0,7,7.0,7.0,0,0,,0,0,0,1.7
50,Grant Calcaterra,PHI,TE,2,KC,2,1,50.0,6,0,6,3.0,6.0,0,0,,0,0,0,1.6
51,Connor Heyward,PIT,TE,2,SEA,1,1,100.0,6,0,6,6.0,6.0,0,0,,0,0,0,1.6
52,Kylen Granson,PHI,TE,2,KC,1,1,100.0,5,0,5,5.0,5.0,0,0,,0,0,0,1.5
53,Mason Taylor,NYJ,TE,2,BUF,2,1,50.0,5,0,5,2.5,5.0,0,0,,0,0,0,1.5
54,Jackson Hawes,BUF,TE,2,NYJ,1,1,100.0,5,0,5,5.0,5.0,0,0,,0,0,0,1.5
55,Mark Andrews,BAL,TE,2,CLE,3,1,33.3,2,0,2,0.7,2.0,1,2,2.0,0,0,0,1.4
56,Brevyn Spann-Ford,DAL,TE,2,NYG,1,1,100.0,3,0,3,3.0,3.0,0,0,,0,0,0,1.3
57,Noah Gray,KC,TE,2,PHI,5,1,20.0,1,0,1,0.2,1.0,0,0,,0,0,0,1.1
58,Eric Saubert,SEA,TE,2,PIT,0,0,,0,0,0,,,0,0,,0,0,0,0.0
59,Lucas Krull,DEN,TE,2,IND,0,0,,0,0,0,,,0,0,,0,0,0,0.0
60,Drew Ogletree,IND,TE,2,DEN,0,0,,0,0,0,,,0,0,,0,0,0,0.0
61,David Martin-Robinson,TEN,TE,2,LAR,0,0,,0,0,0,,,0,0,,0,0,0,0.0
62,Josiah Deguara,ARI,TE,2,CAR,0,0,,0,0,0,,,0,0,,0,0,0,0.0
63,Terrance Ferguson,LAR,TE,2,TEN,0,0,,0,0,0,,,0,0,,0,0,0,0.0
64,Travis Vokolek,ARI,TE,2,CAR,0,0,,0,0,0,,,0,0,,0,0,0,0.0
65,Ian Thomas,LV,TE,2,LAC,0,0,,0,0,0,,,0,0,,0,0,0,0.0
66,Feleipe Franks,ATL,TE,2,MIN,0,0,,0,0,0,,,0,0,,0,0,0,0.0
67,Josh Oliver,MIN,TE,2,ATL,0,0,,0,0,0,,,0,0,,0,0,0,0.0
68,Ben Yurosek,MIN,TE,2,ATL,0,0,,0,0,0,,,0,0,,0,0,0,0.0
69,Nick Vannett,MIN,TE,2,ATL,0,0,,0,0,0,,,0,0,,0,0,0,0.0
70,Teagan Quitoriano,ATL,TE,2,MIN,0,0,,0,0,0,,,0,0,,0,0,0,0.0
71,Charlie Woerner,ATL,TE,2,MIN,0,0,,0,0,0,,,0,0,,0,0,0,0.0
72,Tyler Conklin,LAC,TE,2,LV,0,0,,0,0,0,,,0,0,,0,0,0,0.0
73,Stone Smartt,NYJ,TE,2,BUF,0,0,,0,0,0,,,0,0,,0,0,0,0.0
74,John FitzPatrick,GB,TE,2,WAS,0,0,,0,0,0,,,0,0,,0,0,0,0.0
75,Julian Hill,MIA,TE,2,NE,0,0,,0,0,0,,,0,0,,0,0,0,0.0
76,Colson Yankoff,WAS,TE,2,GB,0,0,,0,0,0,,,0,0,,0,0,0,0.0
77,John Bates,WAS,TE,2,GB,0,0,,0,0,0,,,0,0,,0,0,0,0.0
