Team,Week,Opponent,Home/Away
SF,5,LAR,Away
SF,6,TB,Away
SF,7,ATL,Home
SF,8,HOU,Away
SF,9,NYG,Away
SF,10,LAR,Home
SF,11,ARI,Away
SF,12,CAR,Home
SF,13,CLE,Away
SF,14,BYE,Home
SF,15,TEN,Home
SF,16,IND,Away
SF,17,CHI,Home
SF,18,SEA,Home
TB,1,ATL,Away
TB,2,HOU,Away
TB,3,NYJ,Home
TB,4,PHI,Home
TB,5,SEA,Away
TB,6,SF,Home
TB,7,DET,Away
TB,8,NO,Away
TB,9,BYE,Home
TB,10,NE,Home
TB,11,BUF,Away
TB,12,LAR,Away
TB,13,ARI,Home
TB,14,NO,Home
TB,15,ATL,Home
TB,16,CAR,Away
TB,17,MIA,Away
TB,18,CAR,Home
TEN,1,DEN,Away
TEN,2,LAR,Home
TEN,3,IND,Home
TEN,4,HOU,Away
TEN,5,ARI,Away
TEN,6,LV,Away
TEN,7,NE,Home
TEN,8,IND,Away
TEN,9,LAC,Home
TEN,10,BYE,Home
TEN,11,HOU,Home
TEN,12,SEA,Home
TEN,13,JAC,Home
TEN,14,CLE,Away
TEN,15,SF,Away
TEN,16,KC,Home
TEN,17,NO,Home
TEN,18,JAC,Away
WAS,1,NYG,Home
WAS,2,GB,Away
WAS,3,LV,Home
WAS,4,ATL,Away
WAS,5,LAC,Away
WAS,6,CHI,Home
WAS,7,DAL,Away
WAS,8,KC,Away
WAS,9,SEA,Home
WAS,10,DET,Home
WAS,11,MIA,Away
WAS,12,BYE,Home
WAS,13,DEN,Home
WAS,14,MIN,Away
WAS,15,NYG,Away
WAS,16,PHI,Home
WAS,17,DAL,Home
WAS,18,PHI,Away
