id,position,name,preferred,team abbr,ADP,AVG
"1001219","QB","Skylar Thompson","any","PIT","0",3.94
"10499","WR","DJ Turner","any","LV","0",3.93
"7150","TE","Dawson Knox","any","BUF","0",3.86
"1003365","TE","E.J. Jenkins","any","PHI","0",3.85
"1003403","RB","Chris Brooks","any","GB","0",3.84
"1315","RB","Ezekiel Elliott","any","LAC","0",3.83
"7157","WR","Parris Campbell","any","DAL","0",3.75
"1001204","TE","Grant Calcaterra","any","PHI","0",3.74
"5917","WR","KhaDarel Hodge","any","ATL","0",3.73
"1003401","RB","Jordan Mims","any","NO","0",3.73
"1556","TE","Nick Vannett","any","TEN","0",3.73
"5102","WR","Justin Watson","any","HOU","0",3.72
"1000993","RB","Zamir White","any","LV","0",3.66
"1004679","RB","Kimani Vidal","any","LAC","0",3.63
"10051","RB","Trey Sermon","any","PIT","0",3.59
"10048","RB","Kenneth Gainwell","any","PIT","0",3.55
"1001062","TE","Charlie Kolar","any","BAL","0",3.54
"7965","TE","Harrison Bryant","any","PHI","0",3.52
"1370","WR","Nelson Agholor","any","BAL","0",3.51
"1000956","QB","Kenny Pickett","any","CLE","0",3.49
"1000999","RB","Tyler Goodson","any","IND","0",3.42
"1001313","TE","Lucas Krull","any","DEN","0",3.42
"1202","RB","Dare Ogunbowale","any","HOU","0",3.41
"4021","WR","River Cracraft","any","SEA","0",3.4
"1001304","WR","Kevin Austin","any","NO","0",3.38
"7878","TE","Adam Trautman","any","DEN","0",3.37
"1003432","TE","Nate Adkins","any","DEN","0",3.35
"1002795","TE","Michael Mayer","any","LV","0",3.33
"7160","TE","Drew Sample","any","CIN","0",3.32
"10533","WR","Simi Fehoko","any","ARI","0",3.32
"1004694","RB","Blake Watson","any","DEN","0",3.3
"4950","WR","DJ Chark","any","LAC","0",3.28
"1003205","WR","Elijah Higgins","any","ARI","0",3.28
"1190","RB","D'Onta Foreman","any","CLE","0",3.26
"1001020","WR","Jahan Dotson","any","PHI","0",3.21
"1002800","TE","Darnell Washington","any","PIT","0",3.21
"10615","TE","Shane Zylstra","any","DET","0",3.2
"10088","QB","Trey Lance","any","LAC","0",3.18
"10562","TE","Brock Wright","any","DET","0",3.18
"1000994","RB","Tyler Badie","any","DEN","0",3.13
"1005031","WR","Bryce Oliver","any","TEN","0",3.1
"10071","WR","Tylan Wallace","any","BAL","0",3.08
"1001006","RB","Ronnie Rivers","any","LAR","0",3.05
"1481","TE","Johnny Mundt","any","JAX","0",3.01
"10565","RB","Kene Nwangwu","any","NYJ","0",3
"7385","RB","D'Ernest Johnson","any","JAX","0",2.99
"1000987","RB","Hassan Haskins","any","LAC","0",2.98
"1000990","RB","Pierre Strong","any","CLE","0",2.93
"1039","RB","Cordarrelle Patterson","any","PIT","0",2.88
"5442","WR","Trent Sherfield","any","DEN","0",2.79
"7154","WR","Mecole Hardman","any","GB","0",2.77
"1003202","WR","Jalen Brooks","any","DAL","0",2.75
"1211","TE","Mo Alie-Cox","any","IND","0",2.73
"1001243","WR","Michael Woods","any","CLE","0",2.7
"1003298","WR","Jake Bobo","any","SEA","0",2.7
"1002816","WR","Rakim Jarrett","any","TB","0",2.68
"1003212","WR","Derius Davis","any","LAC","0",2.67
"7943","WR","K.J. Osborn","any","WAS","0",2.67
"1569","RB","Michael Burton","any","DEN","0",2.66
"1004937","WR","Mason Tipton","any","NO","0",2.66
"1655","RB","Jamaal Williams","any","NO","0",2.65
"10056","RB","Khalil Herbert","any","IND","0",2.63
"7284","RB","Alec Ingold","any","MIA","0",2.63
"1000970","QB","Dorian Thompson-Robinson","any","PHI","0",2.63
"7372","RB","Craig Reynolds","any","DET","0",2.61
"5349","WR","Anthony Miller","any","BAL","0",2.6
"1004886","WR","Ryan Flournoy","any","DAL","0",2.6
"1492","WR","Robert Woods","any","PIT","0",2.55
"1001385","TE","Peyton Hendershot","any","KC","0",2.53
"1004635","RB","Jonathon Brooks","any","CAR","0",2.5
"1004706","WR","Luke McCaffrey","any","WAS","0",2.49
"1002829","RB","Kenny McIntosh","any","SEA","0",2.49
"1004648","TE","Cade Stover","any","HOU","0",2.45
"1003275","TE","Blake Whiteheart","any","CLE","0",2.44
"1716","TE","Eric Saubert","any","SEA","0",2.43
"1001075","TE","Daniel Bellinger","any","NYG","0",2.41
"7985","RB","JaMycal Hasty","any","NE","0",2.4
"10514","QB","Davis Mills","any","HOU","0",2.39
"7183","WR","Scotty Miller","any","PIT","0",2.38
"1397","QB","Carson Wentz","any","KC","0",2.36
"1003199","WR","Trey Palmer","any","TB","0",2.35
"1004656","WR","Ja'Lynn Polk","any","NE","0",2.34
"1003145","WR","Jonathan Mingo","any","DAL","0",2.3
"10517","TE","Kylen Granson","any","PHI","0",2.3
"1001054","WR","Tanner Conner","any","MIA","0",2.3
"1583","TE","MyCole Pruitt","any","PIT","0",2.29
"1668","RB","C.J. Ham","any","MIN","0",2.25
"10488","TE","Kenny Yeboah","any","DET","0",2.24
"8025","WR","Dan Chisena","any","CAR","0",2.23
"1005010","TE","Brevyn Spann-Ford","any","DAL","0",2.23
"5049","TE","Hayden Hurst","any","LAC","0",2.19
"1002858","WR","Xavier Hutchinson","any","HOU","0",2.19
"1001184","WR","Tyquan Thornton","any","KC","0",2.18
"1001237","TE","Drew Ogletree","any","IND","0",2.16
"8204","RB","J.J. Taylor","any","HOU","0",2.13
"1242","QB","Brandon Allen","any","TEN","0",2.12
"7884","WR","Jalen Reagor","any","LAC","0",2.1
"10053","RB","Jermar Jefferson","any","DET","0",2.1
"1001341","WR","Britain Covey","any","LAR","0",2.08
"1003456","RB","Hunter Luepke","any","DAL","0",2.07
"1003233","TE","Ben Sims","any","GB","0",2.05
"814","WR","Zay Jones","any","ARI","0",2.05
"1001063","TE","Jeremy Ruckert","any","NYJ","0",2.04
"7216","WR","Alex Bachman","any","LV","0",2.03
"1001011","RB","Ty Chandler","any","MIN","0",2.03
"1663","RB","Dalvin Cook","any","DAL","0",2
"1004681","RB","Carson Steele","any","KC","0",1.99
"10548","WR","Ben Skowronek","any","PIT","0",1.98
"1002822","RB","Deuce Vaughn","any","DAL","0",1.97
"1005036","TE","Cam Grandy","any","CIN","0",1.95
"960","WR","Chris Conley","any","SF","0",1.94
"1592","QB","Mitchell Trubisky","any","BUF","0",1.91
