RK,NAME,TEAM,POS,WK,OPP,RECEIVING_TGTS,RECEIVING_REC,CATCH%,RECEIVING_YDS,RECEIVING_TD,LONG,YDS/TGT,YDS/REC,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,FUMBLES,FUMBLES_LOST,FPTS
61,Tee Higgins,CIN,WR,4,DEN,6,3,50.0,32,0,19,5.3,10.7,0,0,,0,0,0,6.2
62,Jameson Williams,DET,WR,4,CLE,8,2,25.0,40,0,27,5.0,20.0,1,-3,-3.0,0,0,0,5.7
63,Chris Godwin,TB,WR,4,PHI,10,3,30.0,26,0,11,2.6,8.7,0,0,,0,0,0,5.6
64,Savion Williams,GB,WR,4,DAL,3,3,100.0,22,0,16,7.3,7.3,1,1,1.0,0,0,0,5.3
65,Brandin Cooks,NO,WR,4,BUF,4,3,75.0,22,0,9,5.5,7.3,0,0,,0,0,0,5.2
66,Calvin Ridley,TEN,WR,4,HOU,3,2,66.7,30,0,22,10.0,15.0,0,0,,0,0,0,5.0
67,Christian Kirk,HOU,WR,4,TEN,4,3,75.0,20,0,12,5.0,6.7,0,0,,0,0,0,5.0
68,DeVonta Smith,PHI,WR,4,TB,2,2,100.0,29,0,20,14.5,14.5,0,0,,0,0,0,4.9
69,Ryan Flournoy,DAL,WR,4,GB,2,2,100.0,14,0,11,7.0,7.0,1,12,12.0,0,0,0,4.6
70,Michael Wilson,ARI,WR,4,SEA,6,3,50.0,15,0,6,2.5,5.0,0,0,,0,0,0,4.5
71,Joshua Palmer,BUF,WR,4,NO,3,2,66.7,25,0,14,8.3,12.5,0,0,,0,0,0,4.5
72,Wan'Dale Robinson,NYG,WR,4,LAC,5,3,60.0,14,0,8,2.8,4.7,0,0,,0,0,0,4.4
73,Tre Tucker,LV,WR,4,CHI,2,2,100.0,13,0,9,6.5,6.5,2,9,4.5,0,0,0,4.2
74,Malik Washington,MIA,WR,4,NYJ,3,2,66.7,13,0,9,4.3,6.5,2,8,4.0,0,0,0,4.1
75,Malik Nabers,NYG,WR,4,LAC,3,2,66.7,20,0,13,6.7,10.0,0,0,,0,0,0,4.0
76,Sterling Shepard,TB,WR,4,PHI,4,2,50.0,14,0,8,3.5,7.0,1,6,6.0,0,0,0,4.0
77,Dontayvion Wicks,GB,WR,4,DAL,4,2,50.0,19,0,15,4.8,9.5,0,0,,0,0,0,3.9
