RK	NAME	TEAM	POS	WK	OPP	TGTS	REC	CATCH%	RECEIVING_YDS	RECEIVING_TD	LONG	YDS/TGT	YDS/REC	RUSHING_ATT	RUSHING_YDS	RUSHING_AVG	RUSHING_TD	FUMBLES	FUMBLES_LOST	FPTS
14	Jordan Akins	CLE	TE	5	WAS	3	3	100	22	1	10	7.3	7.3	0	0		0	0	0	11.2
15	Jonnu Smith	MIA	TE	5	NE	8	5	62.5	62	0	17	7.8	12.4	1	-1	-1	0	0	0	11.1
16	Connor Heyward	PIT	TE	5	DAL	4	2	50	23	1	16	5.8	11.5	0	0		0	0	0	10.3
17	Theo Johnson	NYG	TE	5	SEA	5	5	100	48	0	22	9.6	9.6	0	0		0	0	0	9.8
18	Mark Andrews	BAL	TE	5	CIN	5	4	80	55	0	27	11	13.8	0	0		0	0	0	9.5
19	Foster Moreau	NO	TE	5	KC	2	2	100	13	1	7	6.5	6.5	0	0		0	0	0	9.3
20	Pat Freiermuth	PIT	TE	5	DAL	3	3	100	22	1	19	7.3	7.3	0	0		0	1	1	9.2
21	Cole Kmet	CHI	TE	5	CAR	4	3	75	57	0	26	14.2	19	0	0		0	0	0	8.7
22	Juwan Johnson	NO	TE	5	KC	5	5	100	31	0	11	6.2	6.2	0	0		0	0	0	8.1
23	Cade Otton	TB	TE	5	ATL	4	3	75	44	0	22	11	14.7	0	0		0	0	0	7.4
24	Dalton Schultz	HOU	TE	5	BUF	6	4	66.7	34	0	18	5.7	8.5	0	0		0	0	0	7.4
25	Elijah Higgins	ARI	TE	5	SF	1	1	100	2	1	2	2	2	0	0		0	0	0	7.2
26	Dalton Kincaid	BUF	TE	5	HOU	6	2	33.3	34	0	26	5.7	17	0	0		0	0	0	5.4
27	Noah Fant	SEA	TE	5	NYG	3	3	100	24	0	12	8	8	0	0		0	0	0	5.4
28	Hunter Henry	NE	TE	5	MIA	4	2	50	32	0	25	8	16	0	0		0	0	0	5.2
29	Mike Gesicki	CIN	TE	5	BAL	2	2	100	31	0	19	15.5	15.5	0	0		0	0	0	5.1
30	Johnny Mundt	MIN	TE	5	NYJ	2	2	100	31	0	20	15.5	15.5	0	0		0	0	0	5.1
31	Noah Gray	KC	TE	5	NO	2	2	100	29	0	15	14.5	14.5	0	0		0	0	0	4.9
