Rank,Rank_Overall,Rank_Superflex,"Full Name","Team Abbrev",Position,"Fantasy Points Per Game","Best Ball Points Added",ADP,id
100,100,118,"Curtis Samuel",BUF,WR,9.8,55.1,100.7,5938ed56-9d15-4ddb-bbb6-4f2df360082d
101,101,27,"Caleb Williams",CHI,QB,-,-,96.4,b8771ac8-365e-47ee-8c89-257ce9c3ed1c
102,102,120,"Dallas Goedert",PHI,TE,9.7,34.6,112.7,b95bd706-6b49-482b-9767-182b062dd5b1
103,103,121,"Zack Moss",CIN,RB,12.1,89.6,94.1,3e152432-f6e7-42b7-b71e-fd969103ef58
104,104,122,"Brian Robinson",WAS,RB,13.2,98.2,111.5,8f945f72-643c-468a-92f0-5ce4eea02376
105,105,123,"Mike Williams",NYJ,WR,16.7,25.6,105.4,ff2e5025-2e5a-42f1-b618-d49879ee4137
106,106,28,"Brock Purdy",SF,QB,19.2,48.5,103.6,34410741-ef23-47e5-b6b4-ec1786d934fa
107,107,30,"Jayden Daniels",WAS,QB,-,-,105.1,7596f380-5b00-47a8-9598-a26c2f107188
108,108,125,"Rashid Shaheed",NO,WR,10.4,56.6,119.7,e589613d-c3de-4dd1-9cfd-2e28677b4341
109,109,126,"Nick Chubb",CLE,RB,11.6,10.0,108.3,c4ee1373-10f2-47bb-a333-0bbc1047fee3
110,110,127,"Jakobi Meyers",LV,WR,13.7,101.4,121.5,bd442576-a4ed-474b-9dbd-941891275718
111,111,129,"Devin Singletary",NYG,RB,9.8,72.5,113,afbfb86b-62fa-4d76-850e-106a8bef1227
112,112,31,"Trevor Lawrence",JAX,QB,17.3,28.8,118.8,cd014c4d-e787-4f56-b0c4-c18b0f98dfd0
113,113,33,"Tua Tagovailoa",MIA,QB,16.7,28.1,113.9,b24c197a-b8e2-4ddf-8d0e-b97e30059d08
114,114,130,"T.J. Hockenson",MIN,TE,14.6,76.5,115.9,83050f3b-3f33-4e5b-ad16-b0a82eefdcbb
115,115,131,"Adonai Mitchell",IND,WR,-,-,114.9,808b51b2-dbf2-4023-9231-cd5f910afe6f
116,116,132,"Brandin Cooks",DAL,WR,10.8,73.1,132.3,dd65067d-22f1-4262-9511-1722ec842441
117,117,133,"Dalton Schultz",HOU,TE,10.0,42.9,126,d79e99d3-9a96-438e-a237-b5a1f6309909
118,118,134,"Jerry Jeudy",CLE,WR,8.9,29.4,129.5,6cf1940d-9a54-4eb3-ba14-49e9b822d88d
119,119,135,"Trey Benson",ARI,RB,-,-,102,542c1523-b23e-42fd-add6-29db4ec3dc1d
120,120,136,"Josh Palmer",LAC,WR,10.7,38.2,125,5b58b8bc-4e70-4c59-9b39-5d06ff9cc138
121,121,35,"Justin Herbert",LAC,QB,18.6,47.0,125.7,639efdda-8c57-4da3-83d2-30f2471bfc02
122,122,138,"Austin Ekeler",WAS,RB,13.2,96.9,109.9,7e7c2085-c78c-4d08-b286-0fe4e199a8b0
123,123,140,"Khalil Shakir",BUF,WR,7.1,29.8,116,14655452-ddcb-4917-b5d6-16cba10df015
124,124,141,"Jameson Williams",DET,WR,6.7,14.0,96.4,05770873-38ff-4f2c-9fe6-93b30344c8ff
125,125,53,"Jared Goff",DET,QB,17.8,35.4,120.6,1c0b3cb2-0f1f-4404-af12-058599ce167f
126,126,142,"Jahan Dotson",WAS,WR,7.3,36.8,131.1,63fee59f-b98f-4a3b-b166-6f5dd8382977
127,127,143,"Pat Freiermuth",PIT,TE,6.4,14.3,142.3,9461990e-fcb5-461a-aef0-cd430b33a1c8
128,128,144,"Chase Brown",CIN,RB,4.5,14.1,119.9,3e8980e6-5db5-4abf-bf09-961510c13cca
129,129,145,"Romeo Doubs",GB,WR,10.3,61.9,114.6,eab97f05-41eb-44dd-bcd6-b1164453d78f
130,130,146,"Gabriel Davis",JAX,WR,9.5,81.8,132.3,9d484486-6555-41e2-9e4b-b9b4b4a73852
131,131,147,"Josh Downs",IND,WR,9.2,42.0,137.9,eb04ead7-a136-4dfd-9bc0-36062253808f
132,132,148,"Cole Kmet",CHI,TE,10.7,55.9,135.9,1a11d2ae-c4b1-400c-bf2e-d4dca13800e6
133,133,149,"Tyjae Spears",TEN,RB,9.0,53.8,123,155d3ea9-be02-439b-893f-61cfb7e42e14
134,134,151,"Xavier Legette",CAR,WR,-,-,139.4,781c6385-c420-4a04-a546-e7244b0f421d
135,135,152,"Quentin Johnston",LAC,WR,5.5,15.0,147,d1320ecb-9461-4fba-97c1-d40ae8c36cb5
136,136,153,"Zach Charbonnet",SEA,RB,6.6,28.1,136.4,317274c8-462d-4f3f-99c0-6fe632f9c100
137,137,155,"Ezekiel Elliott",DAL,RB,10.3,71.5,128.5,3a7f32f4-cdb6-4be0-a1b5-6c216802dc4c
138,138,157,"Dontayvion Wicks",GB,WR,8.0,34.1,140.3,a7ee8a74-bffd-4cc1-8afe-c348540218cb
139,139,56,"Aaron Rodgers",NYJ,QB,0.0,0.0,148.9,7e343d94-5993-4398-b8e1-d251ce8cddf6
140,140,159,"Gus Edwards",LAC,RB,11.0,89.1,118.1,2642260c-f775-4263-977c-4584914f0418
141,141,160,"Jerome Ford",CLE,RB,12.4,105.0,136.9,49edc4f4-dc78-467d-8ddb-a5585fcb54e9
142,142,163,"Malachi Corley",NYJ,WR,-,-,169,feaa26c4-cff4-487a-970a-ddad711e5b09
143,143,165,"Darnell Mooney",ATL,WR,5.3,13.0,149.6,4d0feb32-2c3d-4ba3-97a5-3255e2d8afd2
144,144,168,"Michael Wilson",ARI,WR,8.8,38.4,167.1,56346159-6e3e-4ec5-ab5b-4fa6e70a4aa9
145,145,171,"Roman Wilson",PIT,WR,-,-,157.4,ee4764a1-5eaa-450f-bfb6-fda7fd37485f
146,146,172,"Blake Corum",LAR,RB,-,-,129.6,e89f7b98-d087-46a4-b20a-53dd65177736
147,147,60,"Deshaun Watson",CLE,QB,15.1,5.9,162.6,5a586c9b-29bb-4966-822f-20cbf961d487
148,148,61,"Kirk Cousins",ATL,QB,19.3,23.8,134.9,28d325d3-3f66-4334-8c97-7e886cbb0218
149,149,173,"Ja'Lynn Polk",NE,WR,-,-,154.7,0eae9eff-1161-4e23-8038-c359ca6c1410
150,150,174,"Luke Musgrave",GB,TE,6.8,5.2,154.7,6835cc77-2259-460a-96d2-4593cac34fe4
151,151,175,"Adam Thielen",CAR,WR,13.6,111.6,164.4,219e05a7-6e17-4f64-a2ae-2023dd01ecb3
152,152,91,"Matthew Stafford",LAR,QB,16.9,17.2,144,2c21c617-0373-467a-aa15-1e0e678d9630
153,153,92,"Baker Mayfield",TB,QB,16.7,22.2,158.5,3d994e25-98b0-4fe4-8e43-45caa3b05889
154,154,177,"Wan'Dale Robinson",NYG,WR,8.9,39.1,185.2,e1e19ee9-01a4-472f-8e74-626a4607e6d1
155,155,178,"Cade Otton",TB,TE,6.9,13.7,170.6,2f43f271-81a2-428d-be67-22331f8cc23e
156,156,179,"Marvin Mims",DEN,WR,4.4,20.5,171.3,fc1ccabb-3073-4b34-a1c4-3310e43d369e
157,157,180,"Rico Dowdle",DAL,RB,5.7,28.6,141.4,1f9caa40-8697-45ed-838a-c5016d5d2b50
158,158,95,"Geno Smith",SEA,QB,15.7,24.0,173.3,edb873b8-24e4-46c7-a82e-01efdedd9ff3
159,159,181,"Tyler Conklin",NYJ,TE,7.2,7.7,177.8,c1bf2279-8822-483c-a471-eca605165780
160,160,182,"Jermaine Burton",CIN,WR,-,-,158.4,7f61052c-f7f1-46a1-9486-afbbdebf9e9e
161,161,183,"Ray Davis",BUF,RB,-,-,157.3,7add997e-ddf5-4dd6-b818-4747a6c23448
162,162,184,"Troy Franklin",DEN,WR,-,-,156.3,fe172b50-3a9a-4b92-bfd7-7c4806855cd3
163,163,185,"Jaylen Wright",MIA,RB,-,-,144.9,ffffe221-e468-4aa4-a89c-814ff9d84e24
164,164,186,"Juwan Johnson",NO,TE,7.5,23.9,174.2,8e8ab6f3-17ee-4fd2-b267-49e1d20b6d12
165,165,187,"Ben Sinnott",WAS,TE,-,-,149.9,7c3b8c65-cee7-441a-b656-dc0f9e592075
166,166,99,"J.J. McCarthy",MIN,QB,-,-,179.3,3b683063-e2a1-4c8c-9c2a-d0a0efc5e9b6
167,167,188,"Hunter Henry",NE,TE,8.6,36.8,161.8,7d9fe5a5-046a-497a-9edd-cd0fe22704e7
168,168,189,"MarShawn Lloyd",GB,RB,-,-,146.4,ba62ae9e-6556-4eec-abd8-24061cbc3b64
169,169,191,"Elijah Moore",CLE,WR,7.8,30.3,207.5,99f3f9f4-99bc-4044-887e-7b671d990ba8
170,170,192,"Tyler Allgeier",ATL,RB,8.1,47.5,165.2,fd40f098-b8ea-462f-9500-a356b073a8c2
171,171,193,"Antonio Gibson",NE,RB,8.0,34.8,168.5,8455944d-c59f-4f25-a201-2a0785a34543
172,172,103,"Drake Maye",NE,QB,-,-,199.4,559fb2bc-fb75-45f8-8872-32bdc051ef1b
173,173,195,"Ty Chandler",MIN,RB,5.9,38.2,151.3,05ae34fa-4c89-4171-aec5-3a9cf44970be
174,174,196,"J.K. Dobbins",LAC,RB,11.7,5.0,167.5,a3694f7f-d96e-4a5c-9965-f877c14cf007
175,175,197,"Chigoziem Okonkwo",TEN,TE,6.7,8.4,198.5,f71fb47b-cb8d-436b-a9ea-3a8f7d4da6f5
176,176,198,"Tucker Kraft",GB,TE,4.6,7.3,203.6,112e0165-5616-4de6-97fe-3a99d6a48dbe
177,177,200,"Ricky Pearsall",SF,WR,-,-,145.3,32b80205-735b-4646-962e-4485d512a029
178,178,201,"Jonnu Smith",MIA,TE,7.3,23.2,190.9,d22c8282-2db7-48ec-ac2c-825f00eac244
179,179,203,"Noah Fant",SEA,TE,4.3,1.0,189.2,8f7f70cb-d238-4263-a283-67fa1e0d8e88
180,180,204,"Chuba Hubbard",CAR,RB,10.7,75.2,169,3818318a-eae9-4e5e-97b7-fc9c17aff78d
181,181,205,"Tyler Boyd",TEN,WR,8.6,34.0,205.1,b85602ca-8575-47c6-9cd5-36aaeaab7038
182,182,206,"Kendre Miller",NO,RB,5.4,14.4,152.2,ff629d5a-a1a0-41aa-be94-384346c39dd0
183,183,208,"DJ Chark",LAC,WR,7.7,36.1,205.5,a3f9a932-cb32-4d30-84c0-7e4347bb909f
184,184,209,"Kimani Vidal",LAC,RB,-,-,160.1,4f2cd96c-93ab-4556-b181-a9d5148a5547
